donor	public_cram_url
HG00438	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988768/HG00438.final.cram
HG00706	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988821/HG00706.final.cram
NA18967	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239409/NA18967.final.cram
NA18976	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239418/NA18976.final.cram
NA19066	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239597/NA19066.final.cram
NA19088	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239616/NA19088.final.cram
HG02071	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988983/HG02071.final.cram
HG02129	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988992/HG02129.final.cram
HG02155	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242169/HG02155.final.cram
NA18565	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239656/NA18565.final.cram
HG00408	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988762/HG00408.final.cram
HG00544	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988786/HG00544.final.cram
NA18945	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239396/NA18945.final.cram
NA18952	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239401/NA18952.final.cram
NA18959	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239404/NA18959.final.cram
NA19007	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239582/NA19007.final.cram
HG02056	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988980/HG02056.final.cram
HG02080	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988986/HG02080.final.cram
HG02391	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242280/HG02391.final.cram
NA18747	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239543/NA18747.final.cram
HG00597	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988799/HG00597.final.cram
HG00673	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988814/HG00673.final.cram
NA18944	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239395/NA18944.final.cram
NA18970	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239412/NA18970.final.cram
NA19087	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239615/NA19087.final.cram
HG02040	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242342/HG02040.final.cram
HG02132	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988993/HG02132.final.cram
HG02523	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989022/HG02523.final.cram
