donor	stratum	population	family	paired_RCCX_annotations	experimental_HLA_labels	fold	public_cram_url	selection_sha256
HG02602	SAS	PJL	HG02600	1	0	2	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989034/HG02602.final.cram	25905edeb4433f4173887311f364d72d4bc6574c8a0d5b7fa3fff933460d528b
HG04115	SAS	STU	HG03894	1	0	2	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989236/HG04115.final.cram	409ed8d5eb1fb929984d61f7fbaa0fdd2a0152bc97352e70029485f3681f088f
HG02165	EAS	CDX	HG02165	1	0	3	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242172/HG02165.final.cram	c421ae0486be165819480778cf36f758f138005a244faf48355ed4fe23898207
HG00558	EAS	CHS	HG00556	1	0	3	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988789/HG00558.final.cram	00a68ce43bc08f83b05116b69d05ebd68794c3256a64f59745da70e70c721ce9
NA18952	EAS	JPT	NA18952	1	1	3	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239401/NA18952.final.cram	09c3fb55ac45a09729062fffcfe3873640859a20dfb474907c5e28dd4b5541ff
HG02523	EAS	KHV	HG02521	1	0	3	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989022/HG02523.final.cram	6ab38a83c8b5848c58e49577bd3b8cf8129a3d6d307ac496b124bd3621a045cd
HG03927	SAS	BEB	HG03925	1	0	3	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989230/HG03927.final.cram	51aa74d0ea9b6e5a7792b4e69df5b8cdb55c871d18e41d5986f163de9e95ae8d
NA21106	SAS	GIH	NA21106	1	0	3	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240061/NA21106.final.cram	682dcd96b9dbe6794961a649512f986b61f979e6d915a739a6a947d91d54b7dd
HG02738	SAS	PJL	HG02736	1	0	3	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989064/HG02738.final.cram	27c2c7c54e5fe985a00048b9cbacac68ca0544913105a93bbc39b21121c20461
HG03688	SAS	STU	HG03688	1	0	3	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989200/HG03688.final.cram	418f9436d67ec4011ca40b49a509b41510d5fc1f691c21d6b55fbbd285c6cc20
NA18747	EAS	CHB	NA18747	1	1	4	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239543/NA18747.final.cram	4a2b25258a23948866e0a4f7e06433f2f59a03fd60be0fbdc9a3e645cdf3d528
HG00609	EAS	CHS	HG00607	1	0	4	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988800/HG00609.final.cram	035b180b7a57597b19a45d888272f1cfe7162f762937891ba1b17e859077cb23
NA19088	EAS	JPT	NA19088	1	1	4	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239616/NA19088.final.cram	12f9970d6fba0fc33d793a7cc39a93e84b6f2922aeecada0ce750223331c8c70
HG02074	EAS	KHV	HG02074	1	0	4	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988984/HG02074.final.cram	896702e0df0602e23687c73c668162779dc801aae32b2d61abc86a5c8f4ca32a
HG04157	SAS	BEB	HG04155	1	0	4	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989249/HG04157.final.cram	53f58c6083a80c7416bc24e1aae4fed367492ef905ce24ecdde57215599fa7bb
HG03784	SAS	ITU	HG03784	1	0	4	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242715/HG03784.final.cram	23af8b717094497e4f1bcdf517c8dc5bb6278fad6fdfa666bd1598d6ee765f49
HG03017	SAS	PJL	HG03015	1	0	4	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989108/HG03017.final.cram	345f27bc790c8baf1d373936bf01a304c21c2da225a63ed6a3c0236330cb8ef2
HG04204	SAS	STU	HG03642	1	0	4	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989259/HG04204.final.cram	b76f056456b954a4bb7a1c6695d4b3b8e4954b0b5ed5d8c5e98fd7a47d02261a
