donor	stratum	population	family	fold	cohort	cram	selection_sha256
NA20762	EUR	TSI	NA20762	0	nonAsian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239842/NA20762.final.cram	644ce8df3b1597434b9ff600b6bc8ab72ef0dd762ae55d13f7bb506cb3a036bd
HG03516	AFR	ESN	NG107	0	nonAsian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989174/HG03516.final.cram	0eb9a7b7ef8480da797e858d7a22fe53332541e3fb4a7766c9811f8eb48337d1
NA19185	AFR	YRI	Y039	0	nonAsian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239630/NA19185.final.cram	099edb9f8046818bc806ae5b9216e07d9c5578c95ceecaf493e86d77bbd37ccc
HG02984	AFR	GWD	GB97	0	nonAsian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989106/HG02984.final.cram	33dda3dfee971d5f15730750143a2243d431c686227de530e85aa019f44e96a6
HG01960	AFR	ACB	BB11	0	nonAsian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988961/HG01960.final.cram	03b381ba2cfd501cf4bc058cfcd1b5fe680f66ef16988b73f15a7c77a840a45c
NA20282	AFR	ASW	2469	0	nonAsian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239979/NA20282.final.cram	1203fe77f70da33fc79e1a55c4d31aa283c95f59bb883643bcf615da20b3c465
NA19468	AFR	LWK	NA19468	0	nonAsian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239779/NA19468.final.cram	2165de3c43c48ba668a4b7685fc4432a337525d5cbed417c7528d6929d44c2b3
HG03453	AFR	MSL	SL50	0	nonAsian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989166/HG03453.final.cram	3f30b2ca145325574da332dcfaadb9827112741ea779dda7d7c504b2b19c629c
HG03369	AFR	ESN	NG98	0	nonAsian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242626/HG03369.final.cram	11e64ff274dcc6cb63e2a00ee8948a39d860e80fe9812a5ac61acb13a0b8877d
NA19159	AFR	YRI	Y056	0	nonAsian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239440/NA19159.final.cram	4f3cf82aff30509fc41613e10da45eef86141cd6be7bcb27ef286922ee8a2ab4
HG02809	AFR	GWD	GB63	0	nonAsian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989077/HG02809.final.cram	39dafed06ee9265aeb4426333a233154a3f14b4bbcd360dec17492019721bdea
HG02145	AFR	ACB	BB20	0	nonAsian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988995/HG02145.final.cram	2fe12dd07eedadf6be42d8a708cabdb2a084673f7d0f9a033306714cf48d2fb1
NA19909	AFR	ASW	2427	0	nonAsian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239967/NA19909.final.cram	132c07af8bb34392bbc7c198bb2a2387e95505124cf3443d7efde6eabda28fed
NA19338	AFR	LWK	NA19338	0	nonAsian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239724/NA19338.final.cram	21b9f074bf307e3eb716d152e26569f41a464dc55cbab17545e98847f3e38d2a
HG03209	AFR	MSL	SL17	0	nonAsian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242539/HG03209.final.cram	615ca60d96c7dab76febc20496d61bb2ea573a3ad95b552ce5bea86dca8e9e30
HG02976	AFR	ESN	NG24	0	nonAsian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3242607/HG02976.final.cram	1c57b5b70735aa4cb90a7f942e98cfa4dfe81e69d3e270c6c2ea41be07681b62
NA18879	AFR	YRI	Y021	0	nonAsian	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3239669/NA18879.final.cram	696832d4dd50e56017449c9671b0c19cccbb7fb44d2dc0192ab8f09c41275c5c
