donor	stratum	family	method	gene	fields	state	eligible	called	correct	allele_matches	cohort
HG02273	AMR	PEL46	ipd_genome	DRB1	2	complete	1	1	1	2	exposed_validation
HG02273	AMR	PEL46	T1K	DRB1	4	complete	0	0	0	0	exposed_validation
HG02273	AMR	PEL46	ipd_genome	DRB1	4	complete	0	0	0	0	exposed_validation
HG02280	AFR	BB23	T1K	A	2	complete	1	1	1	2	exposed_validation
HG02280	AFR	BB23	ipd_genome	A	2	complete	1	1	1	2	exposed_validation
HG02280	AFR	BB23	T1K	A	4	complete	1	1	1	2	exposed_validation
HG02280	AFR	BB23	ipd_genome	A	4	complete	1	1	1	2	exposed_validation
HG02280	AFR	BB23	T1K	B	2	complete	1	1	1	2	exposed_validation
HG02280	AFR	BB23	ipd_genome	B	2	complete	1	1	1	2	exposed_validation
HG02280	AFR	BB23	T1K	B	4	complete	0	0	0	0	exposed_validation
HG02280	AFR	BB23	ipd_genome	B	4	complete	0	0	0	0	exposed_validation
HG02280	AFR	BB23	T1K	C	2	complete	1	1	1	2	exposed_validation
HG02280	AFR	BB23	ipd_genome	C	2	complete	1	1	1	2	exposed_validation
HG02280	AFR	BB23	T1K	C	4	complete	1	1	0	1	exposed_validation
HG02280	AFR	BB23	ipd_genome	C	4	complete	1	1	1	2	exposed_validation
HG02280	AFR	BB23	T1K	DPA1	2	complete	1	1	1	2	exposed_validation
HG02280	AFR	BB23	ipd_genome	DPA1	2	complete	1	1	0	1	exposed_validation
HG02280	AFR	BB23	T1K	DPA1	4	complete	1	1	0	0	exposed_validation
HG02280	AFR	BB23	ipd_genome	DPA1	4	complete	1	0	0	1	exposed_validation
HG02280	AFR	BB23	T1K	DPB1	2	complete	1	1	1	2	exposed_validation
HG02280	AFR	BB23	ipd_genome	DPB1	2	complete	1	1	1	2	exposed_validation
HG02280	AFR	BB23	T1K	DPB1	4	complete	1	1	1	2	exposed_validation
HG02280	AFR	BB23	ipd_genome	DPB1	4	complete	1	1	1	2	exposed_validation
HG02280	AFR	BB23	T1K	DQA1	2	complete	1	1	0	1	exposed_validation
HG02280	AFR	BB23	ipd_genome	DQA1	2	complete	1	1	1	2	exposed_validation
HG02280	AFR	BB23	T1K	DQA1	4	complete	1	1	0	1	exposed_validation
HG02280	AFR	BB23	ipd_genome	DQA1	4	complete	1	1	0	1	exposed_validation
HG02280	AFR	BB23	T1K	DQB1	2	complete	1	1	1	2	exposed_validation
HG02280	AFR	BB23	ipd_genome	DQB1	2	complete	1	1	1	2	exposed_validation
HG02280	AFR	BB23	T1K	DQB1	4	complete	1	1	0	1	exposed_validation
HG02280	AFR	BB23	ipd_genome	DQB1	4	complete	1	1	1	2	exposed_validation
HG02280	AFR	BB23	T1K	DRB1	2	complete	1	1	1	2	exposed_validation
HG02280	AFR	BB23	ipd_genome	DRB1	2	complete	1	1	1	2	exposed_validation
HG02280	AFR	BB23	T1K	DRB1	4	complete	0	0	0	0	exposed_validation
HG02280	AFR	BB23	ipd_genome	DRB1	4	complete	0	0	0	0	exposed_validation
HG02293	AMR	PEL51	T1K	A	2	complete	1	1	1	2	exposed_validation
HG02293	AMR	PEL51	ipd_genome	A	2	complete	1	1	1	2	exposed_validation
HG02293	AMR	PEL51	T1K	A	4	complete	0	0	0	0	exposed_validation
HG02293	AMR	PEL51	ipd_genome	A	4	complete	0	0	0	0	exposed_validation
HG02293	AMR	PEL51	T1K	B	2	complete	1	1	1	2	exposed_validation
HG02293	AMR	PEL51	ipd_genome	B	2	complete	1	1	1	2	exposed_validation
HG02293	AMR	PEL51	T1K	B	4	complete	1	1	1	2	exposed_validation
HG02293	AMR	PEL51	ipd_genome	B	4	complete	1	1	1	2	exposed_validation
HG02293	AMR	PEL51	T1K	C	2	complete	1	1	1	2	exposed_validation
HG02293	AMR	PEL51	ipd_genome	C	2	complete	1	1	1	2	exposed_validation
HG02293	AMR	PEL51	T1K	C	4	complete	1	1	1	2	exposed_validation
HG02293	AMR	PEL51	ipd_genome	C	4	complete	1	1	1	2	exposed_validation
HG02293	AMR	PEL51	T1K	DPA1	2	complete	1	1	1	2	exposed_validation
HG02293	AMR	PEL51	ipd_genome	DPA1	2	complete	1	1	1	2	exposed_validation
HG02293	AMR	PEL51	T1K	DPA1	4	complete	0	0	0	0	exposed_validation
HG02293	AMR	PEL51	ipd_genome	DPA1	4	complete	0	0	0	0	exposed_validation
HG02293	AMR	PEL51	T1K	DPB1	2	complete	1	1	1	2	exposed_validation
HG02293	AMR	PEL51	ipd_genome	DPB1	2	complete	1	1	1	2	exposed_validation
HG02293	AMR	PEL51	T1K	DPB1	4	complete	1	1	1	2	exposed_validation
HG02293	AMR	PEL51	ipd_genome	DPB1	4	complete	1	1	1	2	exposed_validation
HG02293	AMR	PEL51	T1K	DQA1	2	complete	1	1	1	2	exposed_validation
HG02293	AMR	PEL51	ipd_genome	DQA1	2	complete	1	1	1	2	exposed_validation
HG02293	AMR	PEL51	T1K	DQA1	4	complete	1	1	1	2	exposed_validation
HG02293	AMR	PEL51	ipd_genome	DQA1	4	complete	1	1	1	2	exposed_validation
HG02293	AMR	PEL51	T1K	DQB1	2	complete	1	1	1	2	exposed_validation
HG02293	AMR	PEL51	ipd_genome	DQB1	2	complete	1	1	1	2	exposed_validation
HG02293	AMR	PEL51	T1K	DQB1	4	complete	1	1	0	1	exposed_validation
HG02293	AMR	PEL51	ipd_genome	DQB1	4	complete	1	1	1	2	exposed_validation
HG02293	AMR	PEL51	T1K	DRB1	2	complete	1	1	1	2	exposed_validation
HG02293	AMR	PEL51	ipd_genome	DRB1	2	complete	1	1	1	2	exposed_validation
HG02293	AMR	PEL51	T1K	DRB1	4	complete	0	0	0	0	exposed_validation
HG02293	AMR	PEL51	ipd_genome	DRB1	4	complete	0	0	0	0	exposed_validation
HG02300	AMR	PEL52	T1K	A	2	complete	1	1	1	2	exposed_validation
HG02300	AMR	PEL52	ipd_genome	A	2	complete	1	1	1	2	exposed_validation
HG02300	AMR	PEL52	T1K	A	4	complete	0	0	0	0	exposed_validation
HG02300	AMR	PEL52	ipd_genome	A	4	complete	0	0	0	0	exposed_validation
HG02300	AMR	PEL52	T1K	B	2	complete	1	1	0	1	exposed_validation
HG02300	AMR	PEL52	ipd_genome	B	2	complete	1	1	1	2	exposed_validation
HG02300	AMR	PEL52	T1K	B	4	complete	0	0	0	0	exposed_validation
HG02300	AMR	PEL52	ipd_genome	B	4	complete	0	0	0	0	exposed_validation
HG02300	AMR	PEL52	T1K	C	2	complete	1	1	1	2	exposed_validation
HG02300	AMR	PEL52	ipd_genome	C	2	complete	1	1	1	2	exposed_validation
HG02300	AMR	PEL52	T1K	C	4	complete	1	1	1	2	exposed_validation
HG02300	AMR	PEL52	ipd_genome	C	4	complete	1	1	1	2	exposed_validation
HG02300	AMR	PEL52	T1K	DPA1	2	complete	1	1	1	2	exposed_validation
HG02300	AMR	PEL52	ipd_genome	DPA1	2	complete	1	1	1	2	exposed_validation
HG02300	AMR	PEL52	T1K	DPA1	4	complete	0	0	0	0	exposed_validation
HG02300	AMR	PEL52	ipd_genome	DPA1	4	complete	0	0	0	0	exposed_validation
HG02300	AMR	PEL52	T1K	DPB1	2	complete	1	1	1	2	exposed_validation
HG02300	AMR	PEL52	ipd_genome	DPB1	2	complete	1	1	1	2	exposed_validation
HG02300	AMR	PEL52	T1K	DPB1	4	complete	1	1	1	2	exposed_validation
HG02300	AMR	PEL52	ipd_genome	DPB1	4	complete	1	1	1	2	exposed_validation
HG02300	AMR	PEL52	T1K	DQA1	2	complete	1	1	0	0	exposed_validation
HG02300	AMR	PEL52	ipd_genome	DQA1	2	complete	1	1	1	2	exposed_validation
HG02300	AMR	PEL52	T1K	DQA1	4	complete	1	0	0	0	exposed_validation
HG02300	AMR	PEL52	ipd_genome	DQA1	4	complete	1	1	1	2	exposed_validation
HG02300	AMR	PEL52	T1K	DQB1	2	complete	1	1	1	2	exposed_validation
HG02300	AMR	PEL52	ipd_genome	DQB1	2	complete	1	1	1	2	exposed_validation
HG02300	AMR	PEL52	T1K	DQB1	4	complete	1	1	1	2	exposed_validation
HG02300	AMR	PEL52	ipd_genome	DQB1	4	complete	1	1	1	2	exposed_validation
HG02300	AMR	PEL52	T1K	DRB1	2	complete	1	1	1	2	exposed_validation
HG02300	AMR	PEL52	ipd_genome	DRB1	2	complete	1	1	1	2	exposed_validation
HG02300	AMR	PEL52	T1K	DRB1	4	complete	0	0	0	0	exposed_validation
HG02300	AMR	PEL52	ipd_genome	DRB1	4	complete	0	0	0	0	exposed_validation
HG02392	EAS	HG02392	T1K	A	2	complete	1	1	1	2	exposed_validation
HG02392	EAS	HG02392	ipd_genome	A	2	complete	1	1	1	2	exposed_validation
HG02392	EAS	HG02392	T1K	A	4	complete	1	1	1	2	exposed_validation
HG02392	EAS	HG02392	ipd_genome	A	4	complete	1	1	1	2	exposed_validation
HG02392	EAS	HG02392	T1K	B	2	complete	1	1	1	2	exposed_validation
HG02392	EAS	HG02392	ipd_genome	B	2	complete	1	1	1	2	exposed_validation
HG02392	EAS	HG02392	T1K	B	4	complete	0	0	0	0	exposed_validation
HG02392	EAS	HG02392	ipd_genome	B	4	complete	0	0	0	0	exposed_validation
HG02392	EAS	HG02392	T1K	C	2	complete	1	1	1	2	exposed_validation
HG02392	EAS	HG02392	ipd_genome	C	2	complete	1	1	1	2	exposed_validation
HG02392	EAS	HG02392	T1K	C	4	complete	1	1	0	0	exposed_validation
HG02392	EAS	HG02392	ipd_genome	C	4	complete	1	1	1	2	exposed_validation
HG02392	EAS	HG02392	T1K	DPA1	2	complete	1	1	1	2	exposed_validation
HG02392	EAS	HG02392	ipd_genome	DPA1	2	complete	1	1	1	2	exposed_validation
HG02392	EAS	HG02392	T1K	DPA1	4	complete	0	0	0	0	exposed_validation
HG02392	EAS	HG02392	ipd_genome	DPA1	4	complete	0	0	0	0	exposed_validation
HG02392	EAS	HG02392	T1K	DPB1	2	complete	1	1	1	2	exposed_validation
HG02392	EAS	HG02392	ipd_genome	DPB1	2	complete	1	1	1	2	exposed_validation
HG02392	EAS	HG02392	T1K	DPB1	4	complete	1	1	0	1	exposed_validation
HG02392	EAS	HG02392	ipd_genome	DPB1	4	complete	1	1	1	2	exposed_validation
HG02392	EAS	HG02392	T1K	DQA1	2	complete	1	1	1	2	exposed_validation
HG02392	EAS	HG02392	ipd_genome	DQA1	2	complete	1	1	1	2	exposed_validation
HG02392	EAS	HG02392	T1K	DQA1	4	complete	0	0	0	0	exposed_validation
HG02392	EAS	HG02392	ipd_genome	DQA1	4	complete	0	0	0	0	exposed_validation
HG02392	EAS	HG02392	T1K	DQB1	2	complete	1	1	1	2	exposed_validation
HG02392	EAS	HG02392	ipd_genome	DQB1	2	complete	1	1	1	2	exposed_validation
HG02392	EAS	HG02392	T1K	DQB1	4	complete	0	0	0	0	exposed_validation
HG02392	EAS	HG02392	ipd_genome	DQB1	4	complete	0	0	0	0	exposed_validation
HG02392	EAS	HG02392	T1K	DRB1	2	complete	1	1	1	2	exposed_validation
HG02392	EAS	HG02392	ipd_genome	DRB1	2	complete	1	1	1	2	exposed_validation
HG02392	EAS	HG02392	T1K	DRB1	4	complete	0	0	0	0	exposed_validation
HG02392	EAS	HG02392	ipd_genome	DRB1	4	complete	0	0	0	0	exposed_validation
HG02451	AFR	BB46	T1K	A	2	complete	1	1	1	2	exposed_validation
HG02451	AFR	BB46	ipd_genome	A	2	complete	1	1	1	2	exposed_validation
HG02451	AFR	BB46	T1K	A	4	complete	1	1	1	2	exposed_validation
HG02451	AFR	BB46	ipd_genome	A	4	complete	1	1	1	2	exposed_validation
HG02451	AFR	BB46	T1K	B	2	complete	1	1	1	2	exposed_validation
HG02451	AFR	BB46	ipd_genome	B	2	complete	1	1	1	2	exposed_validation
HG02451	AFR	BB46	T1K	B	4	complete	0	0	0	0	exposed_validation
HG02451	AFR	BB46	ipd_genome	B	4	complete	0	0	0	0	exposed_validation
HG02451	AFR	BB46	T1K	C	2	complete	1	1	0	1	exposed_validation
HG02451	AFR	BB46	ipd_genome	C	2	complete	1	1	1	2	exposed_validation
HG02451	AFR	BB46	T1K	C	4	complete	0	0	0	0	exposed_validation
HG02451	AFR	BB46	ipd_genome	C	4	complete	0	0	0	0	exposed_validation
HG02451	AFR	BB46	T1K	DPA1	2	complete	1	1	1	2	exposed_validation
HG02451	AFR	BB46	ipd_genome	DPA1	2	complete	1	1	1	2	exposed_validation
HG02451	AFR	BB46	T1K	DPA1	4	complete	1	1	0	1	exposed_validation
HG02451	AFR	BB46	ipd_genome	DPA1	4	complete	1	1	1	2	exposed_validation
HG02451	AFR	BB46	T1K	DPB1	2	complete	1	1	1	2	exposed_validation
HG02451	AFR	BB46	ipd_genome	DPB1	2	complete	1	1	1	2	exposed_validation
HG02451	AFR	BB46	T1K	DPB1	4	complete	1	1	1	2	exposed_validation
HG02451	AFR	BB46	ipd_genome	DPB1	4	complete	1	1	1	2	exposed_validation
HG02451	AFR	BB46	T1K	DQA1	2	complete	1	1	1	2	exposed_validation
HG02451	AFR	BB46	ipd_genome	DQA1	2	complete	1	1	1	2	exposed_validation
HG02451	AFR	BB46	T1K	DQA1	4	complete	1	1	0	0	exposed_validation
HG02451	AFR	BB46	ipd_genome	DQA1	4	complete	1	1	0	1	exposed_validation
HG02451	AFR	BB46	T1K	DQB1	2	complete	1	1	1	2	exposed_validation
HG02451	AFR	BB46	ipd_genome	DQB1	2	complete	1	1	1	2	exposed_validation
HG02451	AFR	BB46	T1K	DQB1	4	complete	1	1	0	1	exposed_validation
HG02451	AFR	BB46	ipd_genome	DQB1	4	complete	1	1	0	1	exposed_validation
HG02451	AFR	BB46	T1K	DRB1	2	complete	1	1	1	2	exposed_validation
HG02451	AFR	BB46	ipd_genome	DRB1	2	complete	1	1	1	2	exposed_validation
HG02451	AFR	BB46	T1K	DRB1	4	complete	0	0	0	0	exposed_validation
HG02451	AFR	BB46	ipd_genome	DRB1	4	complete	0	0	0	0	exposed_validation
HG02514	EAS	VN087	T1K	A	2	complete	1	1	1	2	exposed_validation
HG02514	EAS	VN087	ipd_genome	A	2	complete	1	1	1	2	exposed_validation
HG02514	EAS	VN087	T1K	A	4	complete	0	0	0	0	exposed_validation
HG02514	EAS	VN087	ipd_genome	A	4	complete	0	0	0	0	exposed_validation
HG02514	EAS	VN087	T1K	B	2	complete	1	1	1	2	exposed_validation
HG02514	EAS	VN087	ipd_genome	B	2	complete	1	1	1	2	exposed_validation
HG02514	EAS	VN087	T1K	B	4	complete	0	0	0	0	exposed_validation
HG02514	EAS	VN087	ipd_genome	B	4	complete	0	0	0	0	exposed_validation
HG02514	EAS	VN087	T1K	C	2	complete	1	1	1	2	exposed_validation
HG02514	EAS	VN087	ipd_genome	C	2	complete	1	1	1	2	exposed_validation
HG02514	EAS	VN087	T1K	C	4	complete	1	1	1	2	exposed_validation
HG02514	EAS	VN087	ipd_genome	C	4	complete	1	1	1	2	exposed_validation
HG02514	EAS	VN087	T1K	DPA1	2	complete	1	1	1	2	exposed_validation
HG02514	EAS	VN087	ipd_genome	DPA1	2	complete	1	1	1	2	exposed_validation
HG02514	EAS	VN087	T1K	DPA1	4	complete	1	1	0	0	exposed_validation
HG02514	EAS	VN087	ipd_genome	DPA1	4	complete	1	1	1	2	exposed_validation
HG02514	EAS	VN087	T1K	DPB1	2	complete	1	1	1	2	exposed_validation
HG02514	EAS	VN087	ipd_genome	DPB1	2	complete	1	1	1	2	exposed_validation
HG02514	EAS	VN087	T1K	DPB1	4	complete	1	1	1	2	exposed_validation
HG02514	EAS	VN087	ipd_genome	DPB1	4	complete	1	1	1	2	exposed_validation
HG02514	EAS	VN087	T1K	DQA1	2	complete	1	1	1	2	exposed_validation
HG02514	EAS	VN087	ipd_genome	DQA1	2	complete	1	1	1	2	exposed_validation
HG02514	EAS	VN087	T1K	DQA1	4	complete	1	1	0	1	exposed_validation
HG02514	EAS	VN087	ipd_genome	DQA1	4	complete	1	1	1	2	exposed_validation
HG02514	EAS	VN087	T1K	DQB1	2	complete	1	1	1	2	exposed_validation
HG02514	EAS	VN087	ipd_genome	DQB1	2	complete	1	1	1	2	exposed_validation
HG02514	EAS	VN087	T1K	DQB1	4	complete	1	1	0	0	exposed_validation
HG02514	EAS	VN087	ipd_genome	DQB1	4	complete	1	1	1	2	exposed_validation
HG02514	EAS	VN087	T1K	DRB1	2	complete	1	1	1	2	exposed_validation
HG02514	EAS	VN087	ipd_genome	DRB1	2	complete	1	1	1	2	exposed_validation
HG02514	EAS	VN087	T1K	DRB1	4	complete	0	0	0	0	exposed_validation
HG02514	EAS	VN087	ipd_genome	DRB1	4	complete	0	0	0	0	exposed_validation
HG02572	AFR	GB21	T1K	A	2	complete	1	1	1	2	exposed_validation
HG02572	AFR	GB21	ipd_genome	A	2	complete	1	1	1	2	exposed_validation
HG02572	AFR	GB21	T1K	A	4	complete	1	1	1	2	exposed_validation
HG02572	AFR	GB21	ipd_genome	A	4	complete	1	1	1	2	exposed_validation
HG02572	AFR	GB21	T1K	B	2	complete	1	1	1	2	exposed_validation
HG02572	AFR	GB21	ipd_genome	B	2	complete	1	1	1	2	exposed_validation
HG02572	AFR	GB21	T1K	B	4	complete	0	0	0	0	exposed_validation
HG02572	AFR	GB21	ipd_genome	B	4	complete	0	0	0	0	exposed_validation
HG02572	AFR	GB21	T1K	C	2	complete	1	1	1	2	exposed_validation
HG02572	AFR	GB21	ipd_genome	C	2	complete	1	1	1	2	exposed_validation
HG02572	AFR	GB21	T1K	C	4	complete	0	0	0	0	exposed_validation
HG02572	AFR	GB21	ipd_genome	C	4	complete	0	0	0	0	exposed_validation
HG02572	AFR	GB21	T1K	DPA1	2	complete	1	1	1	2	exposed_validation
HG02572	AFR	GB21	ipd_genome	DPA1	2	complete	1	1	1	2	exposed_validation
HG02572	AFR	GB21	T1K	DPA1	4	complete	0	0	0	0	exposed_validation
HG02572	AFR	GB21	ipd_genome	DPA1	4	complete	0	0	0	0	exposed_validation
HG02572	AFR	GB21	T1K	DPB1	2	complete	1	1	1	2	exposed_validation
HG02572	AFR	GB21	ipd_genome	DPB1	2	complete	1	1	1	2	exposed_validation
HG02572	AFR	GB21	T1K	DPB1	4	complete	0	0	0	0	exposed_validation
HG02572	AFR	GB21	ipd_genome	DPB1	4	complete	0	0	0	0	exposed_validation
HG02572	AFR	GB21	T1K	DQA1	2	complete	1	1	1	2	exposed_validation
HG02572	AFR	GB21	ipd_genome	DQA1	2	complete	1	1	1	2	exposed_validation
HG02572	AFR	GB21	T1K	DQA1	4	complete	0	0	0	0	exposed_validation
HG02572	AFR	GB21	ipd_genome	DQA1	4	complete	0	0	0	0	exposed_validation
HG02572	AFR	GB21	T1K	DQB1	2	complete	1	1	1	2	exposed_validation
HG02572	AFR	GB21	ipd_genome	DQB1	2	complete	1	1	1	2	exposed_validation
HG02572	AFR	GB21	T1K	DQB1	4	complete	1	1	1	2	exposed_validation
HG02572	AFR	GB21	ipd_genome	DQB1	4	complete	1	1	1	2	exposed_validation
HG02572	AFR	GB21	T1K	DRB1	2	complete	1	1	1	2	exposed_validation
HG02572	AFR	GB21	ipd_genome	DRB1	2	complete	1	1	1	2	exposed_validation
HG02572	AFR	GB21	T1K	DRB1	4	complete	0	0	0	0	exposed_validation
HG02572	AFR	GB21	ipd_genome	DRB1	4	complete	0	0	0	0	exposed_validation
HG02583	AFR	GB23	T1K	A	2	complete	1	1	1	2	exposed_validation
HG02583	AFR	GB23	ipd_genome	A	2	complete	1	1	1	2	exposed_validation
HG02583	AFR	GB23	T1K	A	4	complete	1	1	1	2	exposed_validation
HG02583	AFR	GB23	ipd_genome	A	4	complete	1	1	1	2	exposed_validation
HG02583	AFR	GB23	T1K	B	2	complete	1	1	0	1	exposed_validation
HG02583	AFR	GB23	ipd_genome	B	2	complete	1	1	0	1	exposed_validation
HG02583	AFR	GB23	T1K	B	4	complete	0	0	0	0	exposed_validation
HG02583	AFR	GB23	ipd_genome	B	4	complete	0	0	0	0	exposed_validation
HG02583	AFR	GB23	T1K	C	2	complete	1	1	1	2	exposed_validation
HG02583	AFR	GB23	ipd_genome	C	2	complete	1	1	1	2	exposed_validation
HG02583	AFR	GB23	T1K	C	4	complete	1	1	0	1	exposed_validation
HG02583	AFR	GB23	ipd_genome	C	4	complete	1	1	1	2	exposed_validation
HG02583	AFR	GB23	T1K	DPA1	2	complete	1	1	1	2	exposed_validation
HG02583	AFR	GB23	ipd_genome	DPA1	2	complete	1	1	1	2	exposed_validation
HG02583	AFR	GB23	T1K	DPA1	4	complete	0	0	0	0	exposed_validation
HG02583	AFR	GB23	ipd_genome	DPA1	4	complete	0	0	0	0	exposed_validation
HG02583	AFR	GB23	T1K	DPB1	2	complete	1	1	1	2	exposed_validation
HG02583	AFR	GB23	ipd_genome	DPB1	2	complete	1	1	1	2	exposed_validation
HG02583	AFR	GB23	T1K	DPB1	4	complete	0	0	0	0	exposed_validation
HG02583	AFR	GB23	ipd_genome	DPB1	4	complete	0	0	0	0	exposed_validation
HG02583	AFR	GB23	T1K	DQA1	2	complete	1	1	1	2	exposed_validation
HG02583	AFR	GB23	ipd_genome	DQA1	2	complete	1	1	1	2	exposed_validation
HG02583	AFR	GB23	T1K	DQA1	4	complete	0	0	0	0	exposed_validation
HG02583	AFR	GB23	ipd_genome	DQA1	4	complete	0	0	0	0	exposed_validation
HG02583	AFR	GB23	T1K	DQB1	2	complete	1	1	1	2	exposed_validation
HG02583	AFR	GB23	ipd_genome	DQB1	2	complete	1	1	1	2	exposed_validation
HG02583	AFR	GB23	T1K	DQB1	4	complete	0	0	0	0	exposed_validation
HG02583	AFR	GB23	ipd_genome	DQB1	4	complete	0	0	0	0	exposed_validation
HG02583	AFR	GB23	T1K	DRB1	2	complete	1	1	1	2	exposed_validation
HG02583	AFR	GB23	ipd_genome	DRB1	2	complete	1	1	1	2	exposed_validation
HG02583	AFR	GB23	T1K	DRB1	4	complete	1	1	1	2	exposed_validation
HG02583	AFR	GB23	ipd_genome	DRB1	4	complete	1	1	1	2	exposed_validation
HG02615	AFR	GB29	T1K	A	2	complete	1	1	1	2	exposed_validation
HG02615	AFR	GB29	ipd_genome	A	2	complete	1	1	1	2	exposed_validation
HG02615	AFR	GB29	T1K	A	4	complete	1	1	0	1	exposed_validation
HG02615	AFR	GB29	ipd_genome	A	4	complete	1	1	0	1	exposed_validation
HG02615	AFR	GB29	T1K	B	2	complete	1	1	1	2	exposed_validation
HG02615	AFR	GB29	ipd_genome	B	2	complete	1	1	1	2	exposed_validation
HG02615	AFR	GB29	T1K	B	4	complete	0	0	0	0	exposed_validation
HG02615	AFR	GB29	ipd_genome	B	4	complete	0	0	0	0	exposed_validation
HG02615	AFR	GB29	T1K	C	2	complete	1	1	1	2	exposed_validation
HG02615	AFR	GB29	ipd_genome	C	2	complete	1	1	1	2	exposed_validation
HG02615	AFR	GB29	T1K	C	4	complete	0	0	0	0	exposed_validation
HG02615	AFR	GB29	ipd_genome	C	4	complete	0	0	0	0	exposed_validation
HG02615	AFR	GB29	T1K	DPA1	2	complete	1	1	1	2	exposed_validation
HG02615	AFR	GB29	ipd_genome	DPA1	2	complete	1	1	0	1	exposed_validation
HG02615	AFR	GB29	T1K	DPA1	4	complete	0	0	0	0	exposed_validation
HG02615	AFR	GB29	ipd_genome	DPA1	4	complete	0	0	0	0	exposed_validation
HG02615	AFR	GB29	T1K	DPB1	2	complete	1	1	1	2	exposed_validation
HG02615	AFR	GB29	ipd_genome	DPB1	2	complete	1	1	1	2	exposed_validation
HG02615	AFR	GB29	T1K	DPB1	4	complete	1	1	1	2	exposed_validation
HG02615	AFR	GB29	ipd_genome	DPB1	4	complete	1	1	1	2	exposed_validation
HG02615	AFR	GB29	T1K	DQA1	2	complete	1	1	1	2	exposed_validation
HG02615	AFR	GB29	ipd_genome	DQA1	2	complete	1	1	1	2	exposed_validation
HG02615	AFR	GB29	T1K	DQA1	4	complete	0	0	0	0	exposed_validation
HG02615	AFR	GB29	ipd_genome	DQA1	4	complete	0	0	0	0	exposed_validation
HG02615	AFR	GB29	T1K	DQB1	2	complete	1	1	1	2	exposed_validation
HG02615	AFR	GB29	ipd_genome	DQB1	2	complete	1	1	1	2	exposed_validation
HG02615	AFR	GB29	T1K	DQB1	4	complete	1	1	0	1	exposed_validation
HG02615	AFR	GB29	ipd_genome	DQB1	4	complete	1	1	1	2	exposed_validation
HG02615	AFR	GB29	T1K	DRB1	2	complete	1	1	1	2	exposed_validation
HG02615	AFR	GB29	ipd_genome	DRB1	2	complete	1	1	1	2	exposed_validation
HG02615	AFR	GB29	T1K	DRB1	4	complete	0	0	0	0	exposed_validation
HG02615	AFR	GB29	ipd_genome	DRB1	4	complete	0	0	0	0	exposed_validation
HG02622	AFR	GB31	T1K	A	2	complete	1	1	1	2	exposed_validation
HG02622	AFR	GB31	ipd_genome	A	2	complete	1	1	1	2	exposed_validation
HG02622	AFR	GB31	T1K	A	4	complete	1	1	1	2	exposed_validation
HG02622	AFR	GB31	ipd_genome	A	4	complete	1	1	1	2	exposed_validation
HG02622	AFR	GB31	T1K	B	2	complete	1	1	1	2	exposed_validation
HG02622	AFR	GB31	ipd_genome	B	2	complete	1	1	1	2	exposed_validation
HG02622	AFR	GB31	T1K	B	4	complete	0	0	0	0	exposed_validation
HG02622	AFR	GB31	ipd_genome	B	4	complete	0	0	0	0	exposed_validation
HG02622	AFR	GB31	T1K	C	2	complete	1	1	1	2	exposed_validation
HG02622	AFR	GB31	ipd_genome	C	2	complete	1	1	1	2	exposed_validation
HG02622	AFR	GB31	T1K	C	4	complete	0	0	0	0	exposed_validation
HG02622	AFR	GB31	ipd_genome	C	4	complete	0	0	0	0	exposed_validation
HG02622	AFR	GB31	T1K	DPA1	2	complete	1	1	1	2	exposed_validation
HG02622	AFR	GB31	ipd_genome	DPA1	2	complete	1	1	1	2	exposed_validation
HG02622	AFR	GB31	T1K	DPA1	4	complete	1	1	0	0	exposed_validation
HG02622	AFR	GB31	ipd_genome	DPA1	4	complete	1	1	1	2	exposed_validation
HG02622	AFR	GB31	T1K	DPB1	2	complete	1	1	1	2	exposed_validation
HG02622	AFR	GB31	ipd_genome	DPB1	2	complete	1	1	1	2	exposed_validation
HG02622	AFR	GB31	T1K	DPB1	4	complete	1	1	0	1	exposed_validation
HG02622	AFR	GB31	ipd_genome	DPB1	4	complete	1	1	1	2	exposed_validation
HG02622	AFR	GB31	T1K	DQA1	2	complete	1	1	1	2	exposed_validation
HG02622	AFR	GB31	ipd_genome	DQA1	2	complete	1	1	1	2	exposed_validation
HG02622	AFR	GB31	T1K	DQA1	4	complete	0	0	0	0	exposed_validation
HG02622	AFR	GB31	ipd_genome	DQA1	4	complete	0	0	0	0	exposed_validation
HG02622	AFR	GB31	T1K	DQB1	2	complete	1	1	1	2	exposed_validation
HG02622	AFR	GB31	ipd_genome	DQB1	2	complete	1	1	1	2	exposed_validation
HG02622	AFR	GB31	T1K	DQB1	4	complete	0	0	0	0	exposed_validation
HG02622	AFR	GB31	ipd_genome	DQB1	4	complete	0	0	0	0	exposed_validation
HG02622	AFR	GB31	T1K	DRB1	2	complete	1	1	1	2	exposed_validation
HG02622	AFR	GB31	ipd_genome	DRB1	2	complete	1	1	1	2	exposed_validation
HG02622	AFR	GB31	T1K	DRB1	4	complete	0	0	0	0	exposed_validation
HG02622	AFR	GB31	ipd_genome	DRB1	4	complete	0	0	0	0	exposed_validation
HG02630	AFR	GB33	T1K	A	2	complete	1	1	1	2	exposed_validation
HG02630	AFR	GB33	ipd_genome	A	2	complete	1	1	1	2	exposed_validation
HG02630	AFR	GB33	T1K	A	4	complete	1	1	1	2	exposed_validation
HG02630	AFR	GB33	ipd_genome	A	4	complete	1	1	1	2	exposed_validation
