donor	arm	gene	global_edits	exact_genes	truth_bases	reconstructed_bases	masked_bases	legacy_infix_edits	two_field_eligible	two_field_correct	g_group_eligible	g_group_correct	three_field_eligible	three_field_correct
HG02155	AE-panel-pairing	A	0	2	7020	7020	0	0	1	1	1	1	1	1
HG02155	AE-panel-pairing	B	0	2	8165	8165	0	0	1	1	1	1	1	1
HG02155	AE-panel-pairing	C	0	2	8607	8607	0	0	1	1	1	1	1	1
HG02155	AE-panel-pairing	DPA1	269	0	19384	19638	72	73	1	1	1	1	1	1
HG02155	AE-panel-pairing	DPB1	1	1	22928	22927	0	1	1	1	1	1	1	1
HG02155	AE-panel-pairing	DQA1	0	2	12970	12970	0	0	1	1	1	1	1	1
HG02155	AE-panel-pairing	DQB1	822	0	14222	15006	814	822	1	1	1	1	1	1
HG02155	AE-panel-pairing	DRB1	965	0	22840	22494	0	663	1	1	1	1	1	1
HG03239	A-pairing	A	0	2	7019	7019	0	0	1	1	1	1	1	1
HG03239	A-pairing	B	471	0	7706	8175	0	11	1	1	1	1	1	0
HG03239	A-pairing	C	43	0	8581	8621	0	3	1	1	1	1	1	1
HG03239	A-pairing	DPA1	227	1	19310	19537	0	0	1	1	1	1	1	0
HG03239	A-pairing	DPB1	54	0	22978	22978	54	54	1	1	1	1	1	1
HG03239	A-pairing	DQA1	609	0	12840	12938	566	609	1	1	1	1	1	1
HG03239	A-pairing	DQB1	756	0	14603	14981	732	756	1	1	1	1	1	1
HG03239	A-pairing	DRB1	13009	0	29902	21444	1704	11997	1	1	1	1	1	1
HG03239	AE-ipd365-pairing	A	0	2	7019	7019	0	0	1	1	1	1	1	1
HG03239	AE-ipd365-pairing	B	471	0	7706	8175	0	11	1	1	1	1	1	0
HG03239	AE-ipd365-pairing	C	43	0	8581	8621	0	3	1	1	1	1	1	1
HG03239	AE-ipd365-pairing	DPA1	227	1	19310	19537	0	0	1	1	1	1	1	0
HG03239	AE-ipd365-pairing	DPB1	54	0	22978	22978	54	54	1	1	1	1	1	1
HG03239	AE-ipd365-pairing	DQA1	609	0	12840	12938	566	609	1	1	1	1	1	1
HG03239	AE-ipd365-pairing	DQB1	756	0	14603	14981	732	756	1	1	1	1	1	1
HG03239	AE-ipd365-pairing	DRB1	13009	0	29902	21444	1704	11997	1	1	1	1	1	1
HG03239	AE-panel-pairing	A	0	2	7019	7019	0	0	1	1	1	1	1	1
HG03239	AE-panel-pairing	B	471	0	7706	8175	0	11	1	1	1	1	1	0
HG03239	AE-panel-pairing	C	43	0	8581	8621	0	3	1	1	1	1	1	1
HG03239	AE-panel-pairing	DPA1	227	1	19310	19537	0	0	1	1	1	1	1	0
HG03239	AE-panel-pairing	DPB1	54	0	22978	22978	54	54	1	1	1	1	1	1
HG03239	AE-panel-pairing	DQA1	609	0	12840	12938	566	609	1	1	1	1	1	1
HG03239	AE-panel-pairing	DQB1	756	0	14603	14981	732	756	1	1	1	1	1	1
HG03239	AE-panel-pairing	DRB1	13009	0	29902	21444	1704	11997	1	1	1	1	1	1
HG03742	A-pairing	A	0	2	7020	7020	0	0	1	1	1	1	1	1
HG03742	A-pairing	B	230	1	7937	8167	0	0	1	1	1	1	1	1
HG03742	A-pairing	C	0	2	8606	8606	0	0	1	1	1	1	1	1
HG03742	A-pairing	DPA1	4136	0	15416	19551	0	2	1	0	1	1	1	0
HG03742	A-pairing	DPB1	0	2	23006	23006	0	0	1	1	1	1	1	1
HG03742	A-pairing	DQA1	5	1	12922	12920	0	5	1	1	1	1	1	1
HG03742	A-pairing	DQB1	760	0	14216	14966	754	760	1	1	1	1	1	1
HG03742	A-pairing	DRB1	9980	0	28322	21433	1176	9158	1	1	1	1	1	1
HG03742	AE-ipd365-pairing	A	0	2	7020	7020	0	0	1	1	1	1	1	1
HG03742	AE-ipd365-pairing	B	230	1	7937	8167	0	0	1	1	1	1	1	1
HG03742	AE-ipd365-pairing	C	0	2	8606	8606	0	0	1	1	1	1	1	1
HG03742	AE-ipd365-pairing	DPA1	4135	1	15416	19551	0	0	1	0	1	1	1	0
HG03742	AE-ipd365-pairing	DPB1	0	2	23006	23006	0	0	1	1	1	1	1	1
HG03742	AE-ipd365-pairing	DQA1	5	1	12922	12920	0	5	1	1	1	1	1	1
HG03742	AE-ipd365-pairing	DQB1	760	0	14216	14966	754	760	1	1	1	1	1	1
HG03742	AE-ipd365-pairing	DRB1	9980	0	28322	21433	1176	9158	1	1	1	1	1	1
HG03742	AE-panel-pairing	A	0	2	7020	7020	0	0	1	1	1	1	1	1
HG03742	AE-panel-pairing	B	230	1	7937	8167	0	0	1	1	1	1	1	1
HG03742	AE-panel-pairing	C	0	2	8606	8606	0	0	1	1	1	1	1	1
HG03742	AE-panel-pairing	DPA1	4135	1	15416	19551	0	0	1	0	1	1	1	0
HG03742	AE-panel-pairing	DPB1	0	2	23006	23006	0	0	1	1	1	1	1	1
HG03742	AE-panel-pairing	DQA1	5	1	12922	12920	0	5	1	1	1	1	1	1
HG03742	AE-panel-pairing	DQB1	760	0	14216	14966	754	760	1	1	1	1	1	1
HG03742	AE-panel-pairing	DRB1	9980	0	28322	21433	1176	9158	1	1	1	1	1	1
HG03804	A-pairing	A	0	2	7005	7005	0	0	1	1	1	1	1	1
HG03804	A-pairing	B	12	1	8190	8179	0	12	1	1	1	1	1	1
HG03804	A-pairing	C	0	2	8606	8606	0	0	1	1	1	1	1	1
HG03804	A-pairing	DPA1	4045	0	15509	19552	0	2	1	1	1	1	1	1
HG03804	A-pairing	DPB1	99	0	22992	22992	98	99	1	1	1	1	1	1
HG03804	A-pairing	DQA1	0	2	12970	12970	0	0	1	1	1	1	1	1
HG03804	A-pairing	DQB1	876	0	14197	14981	858	876	1	1	1	1	1	1
HG03804	A-pairing	DRB1	1269	0	22532	22490	0	663	1	1	1	0	0	0
HG03804	AE-ipd365-pairing	A	0	2	7005	7005	0	0	1	1	1	1	1	1
HG03804	AE-ipd365-pairing	B	12	1	8190	8179	0	12	1	1	1	1	1	1
HG03804	AE-ipd365-pairing	C	0	2	8606	8606	0	0	1	1	1	1	1	1
HG03804	AE-ipd365-pairing	DPA1	4045	0	15509	19552	0	2	1	1	1	1	1	1
HG03804	AE-ipd365-pairing	DPB1	99	0	22992	22992	98	99	1	1	1	1	1	1
HG03804	AE-ipd365-pairing	DQA1	0	2	12970	12970	0	0	1	1	1	1	1	1
HG03804	AE-ipd365-pairing	DQB1	876	0	14197	14981	858	876	1	1	1	1	1	1
HG03804	AE-ipd365-pairing	DRB1	1269	0	22532	22490	0	663	1	1	1	0	0	0
HG03804	AE-panel-pairing	A	0	2	7005	7005	0	0	1	1	1	1	1	1
HG03804	AE-panel-pairing	B	12	1	8190	8179	0	12	1	1	1	1	1	1
HG03804	AE-panel-pairing	C	0	2	8606	8606	0	0	1	1	1	1	1	1
HG03804	AE-panel-pairing	DPA1	4045	0	15509	19552	0	2	1	1	1	1	1	1
HG03804	AE-panel-pairing	DPB1	99	0	22992	22992	98	99	1	1	1	1	1	1
HG03804	AE-panel-pairing	DQA1	0	2	12970	12970	0	0	1	1	1	1	1	1
HG03804	AE-panel-pairing	DQB1	876	0	14197	14981	858	876	1	1	1	1	1	1
HG03804	AE-panel-pairing	DRB1	1269	0	22532	22490	0	663	1	1	1	0	0	0
NA18620	A-pairing	A	0	2	7035	7035	0	0	1	1	1	1	1	1
NA18620	A-pairing	B	769	0	7394	8162	0	1	1	1	1	1	1	0
NA18620	A-pairing	C	156	1	8484	8622	0	9	0	0	0	0	0	0
NA18620	A-pairing	DPA1	98	1	19449	19547	0	0	1	1	1	1	1	1
NA18620	A-pairing	DPB1	0	2	22978	22978	0	0	1	1	1	1	1	1
NA18620	A-pairing	DQA1	2431	0	12333	13005	1620	1608	1	1	1	1	1	1
NA18620	A-pairing	DQB1	984	0	14464	15010	776	984	1	1	1	1	1	1
NA18620	A-pairing	DRB1	8626	0	27046	21512	1284	7782	1	1	1	1	1	1
NA18620	AE-ipd365-pairing	A	0	2	7035	7035	0	0	1	1	1	1	1	1
NA18620	AE-ipd365-pairing	B	768	1	7394	8162	0	0	1	1	1	1	1	0
NA18620	AE-ipd365-pairing	C	156	1	8484	8622	0	9	0	0	0	0	0	0
NA18620	AE-ipd365-pairing	DPA1	98	1	19449	19547	0	0	1	1	1	1	1	1
NA18620	AE-ipd365-pairing	DPB1	0	2	22978	22978	0	0	1	1	1	1	1	1
NA18620	AE-ipd365-pairing	DQA1	2431	0	12333	13005	1620	1608	1	1	1	1	1	1
NA18620	AE-ipd365-pairing	DQB1	984	0	14464	15010	776	984	1	1	1	1	1	1
NA18620	AE-ipd365-pairing	DRB1	8610	0	27046	21512	1284	7774	1	1	1	1	1	1
NA18620	AE-panel-pairing	A	0	2	7035	7035	0	0	1	1	1	1	1	1
NA18620	AE-panel-pairing	B	768	1	7394	8162	0	0	1	1	1	1	1	0
NA18620	AE-panel-pairing	C	156	1	8484	8622	0	9	0	0	0	0	0	0
NA18620	AE-panel-pairing	DPA1	98	1	19449	19547	0	0	1	1	1	1	1	1
NA18620	AE-panel-pairing	DPB1	0	2	22978	22978	0	0	1	1	1	1	1	1
NA18620	AE-panel-pairing	DQA1	2431	0	12333	13005	1620	1608	1	1	1	1	1	1
NA18620	AE-panel-pairing	DQB1	984	0	14464	15010	776	984	1	1	1	1	1	1
NA18620	AE-panel-pairing	DRB1	8610	0	27046	21512	1284	7774	1	1	1	1	1	1
NA19087	A-pairing	A	8	1	7035	7027	0	8	1	1	1	1	1	1
NA19087	A-pairing	B	0	2	8166	8166	0	0	1	1	1	1	1	1
NA19087	A-pairing	C	0	2	8608	8608	0	0	1	1	1	1	1	1
NA19087	A-pairing	DPA1	426	0	19245	19630	72	101	1	1	1	1	1	0
NA19087	A-pairing	DPB1	0	2	22933	22933	0	0	1	1	1	1	1	1
NA19087	A-pairing	DQA1	751	1	12186	12930	0	8	1	1	1	1	1	1
NA19087	A-pairing	DQB1	873	0	14138	14986	772	773	1	1	1	1	1	1
NA19087	A-pairing	DRB1	9455	0	29009	21443	1118	9269	1	1	1	1	1	0
NA19087	AE-ipd365-pairing	A	8	1	7035	7027	0	8	1	1	1	1	1	1
NA19087	AE-ipd365-pairing	B	0	2	8166	8166	0	0	1	1	1	1	1	1
NA19087	AE-ipd365-pairing	C	0	2	8608	8608	0	0	1	1	1	1	1	1
NA19087	AE-ipd365-pairing	DPA1	462	0	19245	19630	72	137	1	1	1	1	1	1
NA19087	AE-ipd365-pairing	DPB1	0	2	22933	22933	0	0	1	1	1	1	1	1
NA19087	AE-ipd365-pairing	DQA1	751	1	12186	12930	0	8	1	1	1	1	1	1
NA19087	AE-ipd365-pairing	DQB1	873	0	14138	14986	772	773	1	1	1	1	1	1
NA19087	AE-ipd365-pairing	DRB1	9455	0	29009	21443	1118	9269	1	1	1	1	1	0
NA19087	AE-panel-pairing	A	8	1	7035	7027	0	8	1	1	1	1	1	1
NA19087	AE-panel-pairing	B	0	2	8166	8166	0	0	1	1	1	1	1	1
NA19087	AE-panel-pairing	C	0	2	8608	8608	0	0	1	1	1	1	1	1
NA19087	AE-panel-pairing	DPA1	462	0	19245	19630	72	137	1	1	1	1	1	1
NA19087	AE-panel-pairing	DPB1	0	2	22933	22933	0	0	1	1	1	1	1	1
NA19087	AE-panel-pairing	DQA1	751	1	12186	12930	0	8	1	1	1	1	1	1
NA19087	AE-panel-pairing	DQB1	873	0	14138	14986	772	773	1	1	1	1	1	1
NA19087	AE-panel-pairing	DRB1	9942	0	29009	21443	1118	9756	1	1	1	1	1	0
NA21093	A-pairing	A	0	2	7006	7006	0	0	1	1	1	1	1	1
NA21093	A-pairing	B	58	0	8177	8186	56	58	1	1	1	1	1	1
NA21093	A-pairing	C	0	2	8606	8606	0	0	1	1	1	1	1	1
NA21093	A-pairing	DPA1	2	0	19550	19550	0	2	1	1	1	1	1	1
NA21093	A-pairing	DPB1	7	1	23055	23048	0	7	1	1	1	1	1	1
NA21093	A-pairing	DQA1	27	1	12888	12911	0	27	1	1	1	1	1	1
NA21093	A-pairing	DQB1	760	0	14216	14966	752	760	1	1	1	1	1	1
NA21093	A-pairing	DRB1	10288	0	29920	21406	1028	10192	1	1	1	1	1	1
NA21093	AE-ipd365-pairing	A	0	2	7006	7006	0	0	1	1	1	1	1	1
NA21093	AE-ipd365-pairing	B	58	0	8177	8186	56	58	1	1	1	1	1	1
NA21093	AE-ipd365-pairing	C	0	2	8606	8606	0	0	1	1	1	1	1	1
NA21093	AE-ipd365-pairing	DPA1	0	2	19550	19550	0	0	1	1	1	1	1	1
NA21093	AE-ipd365-pairing	DPB1	7	1	23055	23048	0	7	1	1	1	1	1	1
NA21093	AE-ipd365-pairing	DQA1	27	1	12888	12911	0	27	1	1	1	1	1	1
NA21093	AE-ipd365-pairing	DQB1	760	0	14216	14966	752	760	1	1	1	1	1	1
NA21093	AE-ipd365-pairing	DRB1	10288	0	29920	21406	1028	10192	1	1	1	1	1	1
NA21093	AE-panel-pairing	A	0	2	7006	7006	0	0	1	1	1	1	1	1
NA21093	AE-panel-pairing	B	58	0	8177	8186	56	58	1	1	1	1	1	1
NA21093	AE-panel-pairing	C	0	2	8606	8606	0	0	1	1	1	1	1	1
NA21093	AE-panel-pairing	DPA1	0	2	19550	19550	0	0	1	1	1	1	1	1
NA21093	AE-panel-pairing	DPB1	7	1	23055	23048	0	7	1	1	1	1	1	1
NA21093	AE-panel-pairing	DQA1	27	1	12888	12911	0	27	1	1	1	1	1	1
NA21093	AE-panel-pairing	DQB1	760	0	14216	14966	752	760	1	1	1	1	1	1
NA21093	AE-panel-pairing	DRB1	9885	0	29920	21406	1028	9789	1	1	1	1	1	1
