gene_id	hap_id	donor	family	annotated_form	start0	end0	strand
HG00232_2__C4_3	HG00232#2	HG00232	HG00232	C4AL	3635794	3656419	+
HG00235_1__C4_1	HG00235#1	HG00235	HG00235	C4AL	3560311	3580935	+
HG00235_1__C4_2	HG00235#1	HG00235	HG00235	C4BL	3593049	3613673	+
HG00235_2__C4_1	HG00235#2	HG00235	HG00235	C4AL	3563847	3584471	+
HG00235_2__C4_2	HG00235#2	HG00235	HG00235	C4BL	3596585	3617209	+
HG00253_1__C4_1	HG00253#1	HG00253	HG00253	C4AL	3565843	3586468	+
HG00253_1__C4_2	HG00253#1	HG00253	HG00253	C4BS	3598582	3612839	+
HG00253_2__C4_1	HG00253#2	HG00253	HG00253	C4AL	3565171	3585795	+
HG00253_2__C4_2	HG00253#2	HG00253	HG00253	C4BL	3597909	3618532	+
HG00272_1__C4_1	HG00272#1	HG00272	HG00272	C4AL	3561032	3581657	+
HG00272_1__C4_2	HG00272#1	HG00272	HG00272	C4AL	3593771	3614396	+
HG00272_2__C4_1	HG00272#2	HG00272	HG00272	C4BS	3563946	3578202	+
HG00280_1__C4_1	HG00280#1	HG00280	HG00280	C4AL	3563996	3584620	+
HG00280_1__C4_2	HG00280#1	HG00280	HG00280	C4BL	3596734	3617358	+
HG00280_2__C4_1	HG00280#2	HG00280	HG00280	C4BS	3573190	3587446	+
HG00290_1__C4_1	HG00290#1	HG00290	HG00290	C4AL	3574839	3595463	+
HG00290_2__C4_1	HG00290#2	HG00290	HG00290	C4AL	3565150	3585775	+
HG00290_2__C4_2	HG00290#2	HG00290	HG00290	C4AL	3597889	3618514	+
HG00320_1__C4_1	HG00320#1	HG00320	HG00320	C4AL	3635390	3656014	+
HG00320_2__C4_1	HG00320#2	HG00320	HG00320	C4AL	3577211	3597834	+
HG00320_2__C4_2	HG00320#2	HG00320	HG00320	C4BS	3609948	3624203	+
HG00321_1__C4_1	HG00321#1	HG00321	HG00321	C4AL	3566780	3587403	+
HG00321_1__C4_2	HG00321#1	HG00321	HG00321	C4BS	3599517	3613772	+
HG00321_2__C4_1	HG00321#2	HG00321	HG00321	C4AL	3564282	3584906	+
HG00323_1__C4_1	HG00323#1	HG00323	HG00323	C4AL	3516414	3537041	+
HG00323_1__C4_2	HG00323#1	HG00323	HG00323	C4BS	3549154	3563410	+
HG00323_2__C4_1	HG00323#2	HG00323	HG00323	C4AL	3509042	3529665	+
HG00323_2__C4_2	HG00323#2	HG00323	HG00323	C4BS	3541779	3556034	+
HG00329_1__C4_1	HG00329#1	HG00329	HG00329	C4AL	3574775	3595400	+
HG00329_1__C4_2	HG00329#1	HG00329	HG00329	C4AS	3607514	3621771	+
HG00329_1__C4_3	HG00329#1	HG00329	HG00329	C4BL	3633885	3654509	+
HG00329_2__C4_1	HG00329#2	HG00329	HG00329	C4AL	3568588	3589212	+
HG00329_2__C4_2	HG00329#2	HG00329	HG00329	C4BL	3601326	3621950	+
HG00344_1__C4_1	HG00344#1	HG00344	HG00344	C4AL	3568970	3589594	+
HG00344_1__C4_2	HG00344#1	HG00344	HG00344	C4BL	3601708	3622331	+
HG00344_2__C4_1	HG00344#2	HG00344	HG00344	C4AL	3574891	3595515	+
HG00344_2__C4_2	HG00344#2	HG00344	HG00344	C4BL	3607629	3628252	+
HG00350_1__C4_1	HG00350#1	HG00350	HG00350	C4AL	3564695	3585319	+
HG00350_1__C4_2	HG00350#1	HG00350	HG00350	C4BL	3597433	3618057	+
HG00350_2__C4_1	HG00350#2	HG00350	HG00350	C4AL	3562766	3583390	+
HG00350_2__C4_2	HG00350#2	HG00350	HG00350	C4BL	3595504	3616128	+
HG00408_1__C4_1	HG00408#1	HG00408	HG00406	C4AL	3568847	3589472	+
HG00408_1__C4_2	HG00408#1	HG00408	HG00406	C4AL	3601585	3622210	+
HG00408_1__C4_3	HG00408#1	HG00408	HG00406	C4BS	3634323	3648579	+
HG00408_2__C4_1	HG00408#2	HG00408	HG00406	C4AL	3557819	3578443	+
HG00408_2__C4_2	HG00408#2	HG00408	HG00406	C4BS	3590557	3604808	+
HG00423_1__C4_1	HG00423#1	HG00423	HG00421	C4AL	3562595	3583218	+
HG00423_1__C4_2	HG00423#1	HG00423	HG00421	C4BS	3595331	3609582	+
HG00423_2__C4_1	HG00423#2	HG00423	HG00421	C4AL	3566493	3587117	+
HG00423_2__C4_2	HG00423#2	HG00423	HG00421	C4BL	3599231	3619855	+
HG005_1__C4_1	HG005#1	HG005	HG005	C4AL	3516475	3537099	+
HG005_1__C4_2	HG005#1	HG005	HG005	C4BL	3549212	3569835	+
HG005_2__C4_1	HG005#2	HG005	HG005	C4AL	3515864	3536488	+
HG005_2__C4_2	HG005#2	HG005	HG005	C4BL	3548602	3569226	+
HG00544_1__C4_1	HG00544#1	HG00544	HG00542	C4AL	3575620	3596243	+
HG00544_1__C4_2	HG00544#1	HG00544	HG00542	C4BS	3608356	3622607	+
HG00544_2__C4_1	HG00544#2	HG00544	HG00542	C4AL	3562570	3583193	+
HG00544_2__C4_2	HG00544#2	HG00544	HG00542	C4BS	3595306	3609557	+
HG00558_1__C4_1	HG00558#1	HG00558	HG00556	C4AL	3556050	3576670	+
HG00558_1__C4_2	HG00558#1	HG00558	HG00556	C4BS	3588783	3603034	+
HG00558_2__C4_1	HG00558#2	HG00558	HG00556	C4AL	3553141	3573766	+
HG00558_2__C4_2	HG00558#2	HG00558	HG00556	C4BS	3585880	3600136	+
HG00597_1__C4_1	HG00597#1	HG00597	HG00595	C4AL	3568891	3589516	+
HG00597_1__C4_2	HG00597#1	HG00597	HG00595	C4AL	3601629	3622254	+
HG00597_1__C4_3	HG00597#1	HG00597	HG00595	C4BS	3634367	3648623	+
HG00597_2__C4_1	HG00597#2	HG00597	HG00595	C4AL	3519665	3540289	+
HG00597_2__C4_2	HG00597#2	HG00597	HG00595	C4BL	3552403	3573027	+
HG00609_1__C4_1	HG00609#1	HG00609	HG00607	C4AL	3564308	3584932	+
HG00609_1__C4_2	HG00609#1	HG00609	HG00607	C4BS	3597046	3611297	+
HG00609_2__C4_1	HG00609#2	HG00609	HG00607	C4AL	3508259	3528883	+
HG00609_2__C4_2	HG00609#2	HG00609	HG00607	C4AL	3540997	3561621	+
HG00621_1__C4_1	HG00621#1	HG00621	HG00619	C4AL	3563393	3584018	+
HG00621_1__C4_2	HG00621#1	HG00621	HG00619	C4BS	3596131	3610387	+
HG00621_2__C4_1	HG00621#2	HG00621	HG00619	C4AL	3572615	3593239	+
HG00621_2__C4_2	HG00621#2	HG00621	HG00619	C4BL	3605353	3625977	+
HG00639_1__C4_1	HG00639#1	HG00639	HG00637	C4AL	3560386	3581010	+
HG00639_1__C4_2	HG00639#1	HG00639	HG00637	C4BL	3593124	3613748	+
HG00639_2__C4_1	HG00639#2	HG00639	HG00637	C4AL	3574377	3595001	+
HG00639_2__C4_2	HG00639#2	HG00639	HG00637	C4BL	3607115	3627739	+
HG00658_1__C4_1	HG00658#1	HG00658	HG00656	C4AL	3564932	3585556	+
HG00658_1__C4_2	HG00658#1	HG00658	HG00656	C4BL	3597670	3618294	+
HG00658_2__C4_1	HG00658#2	HG00658	HG00656	C4AL	3563301	3583926	+
HG00658_2__C4_2	HG00658#2	HG00658	HG00656	C4AS	3596040	3610297	+
HG00658_2__C4_3	HG00658#2	HG00658	HG00656	C4BL	3622411	3643035	+
HG00706_1__C4_1	HG00706#1	HG00706	HG00704	C4BL	3566398	3587023	+
HG00706_1__C4_2	HG00706#1	HG00706	HG00704	C4BS	3599253	3613511	+
HG00706_2__C4_1	HG00706#2	HG00706	HG00704	C4AL	3564061	3584685	+
HG00706_2__C4_2	HG00706#2	HG00706	HG00704	C4BL	3596799	3617423	+
HG00733_1__C4_1	HG00733#1	HG00733	HG00731	C4AL	3516403	3537027	+
HG00733_1__C4_2	HG00733#1	HG00733	HG00731	C4BL	3549141	3569765	+
HG00733_2__C4_1	HG00733#2	HG00733	HG00731	C4AL	3570976	3591601	+
HG00735_1__C4_1	HG00735#1	HG00735	HG00734	C4AL	3635281	3655905	+
HG00735_1__C4_2	HG00735#1	HG00735	HG00734	C4BS	3668018	3682269	+
HG00735_2__C4_1	HG00735#2	HG00735	HG00734	C4AL	3630421	3651046	+
HG00735_2__C4_2	HG00735#2	HG00735	HG00734	C4BS	3663160	3677417	+
HG00738_1__C4_1	HG00738#1	HG00738	HG00736	C4BS	3564008	3578264	+
HG00738_2__C4_1	HG00738#2	HG00738	HG00736	C4AL	3562164	3582789	+
HG00738_2__C4_2	HG00738#2	HG00738	HG00736	C4AL	3594903	3615528	+
HG00741_1__C4_1	HG00741#1	HG00741	HG00739	C4AL	3572836	3593459	+
HG00741_1__C4_2	HG00741#1	HG00741	HG00739	C4BS	3605573	3619830	+
HG00741_2__C4_1	HG00741#2	HG00741	HG00739	C4AL	3628772	3649397	+
HG00741_2__C4_2	HG00741#2	HG00741	HG00739	C4BS	3661510	3675766	+
HG01071_1__C4_1	HG01071#1	HG01071	HG01069	C4AL	3519063	3539688	+
HG01071_1__C4_2	HG01071#1	HG01071	HG01069	C4BS	3551801	3566057	+
HG01071_2__C4_1	HG01071#2	HG01071	HG01069	C4BL	3572112	3592734	+
HG01071_2__C4_2	HG01071#2	HG01071	HG01069	C4AS	3604848	3619105	+
HG01071_2__C4_3	HG01071#2	HG01071	HG01069	C4BS	3631216	3645472	+
HG01074_1__C4_1	HG01074#1	HG01074	HG01072	C4BL	3548889	3569511	+
HG01074_1__C4_2	HG01074#1	HG01074	HG01072	C4BL	3581625	3602248	+
HG01074_2__C4_1	HG01074#2	HG01074	HG01072	C4AL	3564199	3584824	+
HG01074_2__C4_2	HG01074#2	HG01074	HG01072	C4BS	3596938	3611195	+
HG01081_1__C4_1	HG01081#1	HG01081	HG01079	C4AL	3510971	3531595	+
HG01081_1__C4_2	HG01081#1	HG01081	HG01079	C4AL	3543709	3564333	+
HG01081_1__C4_3	HG01081#1	HG01081	HG01079	C4BL	3576447	3597071	+
HG01081_2__C4_1	HG01081#2	HG01081	HG01079	C4AL	3515487	3536112	+
HG01081_2__C4_2	HG01081#2	HG01081	HG01079	C4BS	3548226	3562483	+
HG01099_1__C4_1	HG01099#1	HG01099	HG01097	C4AL	3569018	3589643	+
HG01099_1__C4_2	HG01099#1	HG01099	HG01097	C4BS	3601756	3616012	+
HG01099_2__C4_1	HG01099#2	HG01099	HG01097	C4AL	3564503	3585128	+
HG01099_2__C4_2	HG01099#2	HG01099	HG01097	C4BS	3597242	3611499	+
HG01106_1__C4_1	HG01106#1	HG01106	HG01104	C4AL	3625699	3646324	+
HG01106_2__C4_1	HG01106#2	HG01106	HG01104	C4AL	3622838	3643463	+
HG01109_1__C4_1	HG01109#1	HG01109	HG01107	C4AL	3629873	3650497	+
HG01109_1__C4_2	HG01109#1	HG01109	HG01107	C4BL	3662611	3683235	+
HG01109_2__C4_1	HG01109#2	HG01109	HG01107	C4AL	3564518	3585143	+
HG01109_2__C4_2	HG01109#2	HG01109	HG01107	C4BS	3597257	3611514	+
HG01123_1__C4_1	HG01123#1	HG01123	HG01123	C4AL	3565274	3585899	+
HG01123_1__C4_2	HG01123#1	HG01123	HG01123	C4BL	3598013	3618637	+
HG01123_2__C4_1	HG01123#2	HG01123	HG01123	C4AL	3554281	3574904	+
HG01123_2__C4_2	HG01123#2	HG01123	HG01123	C4AL	3587018	3607643	+
HG01150_1__C4_1	HG01150#1	HG01150	HG01148	C4AL	3559640	3580264	+
HG01150_1__C4_2	HG01150#1	HG01150	HG01148	C4BL	3592378	3613002	+
HG01150_2__C4_1	HG01150#2	HG01150	HG01148	C4AL	3632940	3653564	+
HG01150_2__C4_2	HG01150#2	HG01150	HG01148	C4BL	3665678	3686302	+
HG01167_1__C4_1	HG01167#1	HG01167	HG01167	C4AL	3466497	3487120	+
HG01167_1__C4_2	HG01167#1	HG01167	HG01167	C4BS	3499233	3513484	+
HG01167_2__C4_1	HG01167#2	HG01167	HG01167	C4AL	3574046	3594671	+
HG01167_2__C4_2	HG01167#2	HG01167	HG01167	C4BS	3606784	3621040	+
HG01175_1__C4_1	HG01175#1	HG01175	HG01173	C4AL	3573133	3593757	+
HG01175_1__C4_2	HG01175#1	HG01175	HG01173	C4BL	3605871	3626494	+
HG01175_2__C4_1	HG01175#2	HG01175	HG01173	C4AL	3577800	3598425	+
HG01175_2__C4_2	HG01175#2	HG01175	HG01173	C4BS	3610538	3624794	+
HG01192_1__C4_1	HG01192#1	HG01192	HG01190	C4AL	3564187	3584811	+
HG01192_1__C4_2	HG01192#1	HG01192	HG01190	C4BL	3596925	3617549	+
HG01192_2__C4_1	HG01192#2	HG01192	HG01190	C4AL	3571194	3591817	+
HG01192_2__C4_2	HG01192#2	HG01192	HG01190	C4BS	3603930	3618181	+
HG01252_1__C4_1	HG01252#1	HG01252	HG01250	C4AL	3517083	3537707	+
HG01252_1__C4_2	HG01252#1	HG01252	HG01250	C4BL	3549821	3570445	+
HG01252_2__C4_1	HG01252#2	HG01252	HG01250	C4AL	3516827	3537451	+
HG01252_2__C4_2	HG01252#2	HG01252	HG01250	C4BL	3549565	3570189	+
HG01255_1__C4_1	HG01255#1	HG01255	HG01253	C4AL	3564141	3584765	+
HG01255_1__C4_2	HG01255#1	HG01255	HG01253	C4BS	3596878	3611129	+
HG01255_2__C4_1	HG01255#2	HG01255	HG01253	C4AL	3563653	3584277	+
HG01255_2__C4_2	HG01255#2	HG01255	HG01253	C4BL	3596391	3617015	+
HG01258_1__C4_1	HG01258#1	HG01258	HG01256	C4AL	3566813	3587436	+
HG01258_1__C4_2	HG01258#1	HG01258	HG01256	C4BS	3599550	3613805	+
HG01258_2__C4_1	HG01258#2	HG01258	HG01256	C4AL	3573134	3593759	+
HG01258_2__C4_2	HG01258#2	HG01258	HG01256	C4BS	3605872	3620128	+
HG01261_1__C4_1	HG01261#1	HG01261	HG01259	C4AL	3570096	3590720	+
HG01261_1__C4_2	HG01261#1	HG01261	HG01259	C4BL	3602834	3623458	+
HG01261_2__C4_1	HG01261#2	HG01261	HG01259	C4AL	3574623	3595247	+
HG01261_2__C4_2	HG01261#2	HG01261	HG01259	C4BL	3607361	3627985	+
HG01261_2__C4_3	HG01261#2	HG01261	HG01259	C4BL	3640099	3660723	+
HG01346_1__C4_1	HG01346#1	HG01346	HG01344	C4AL	3514863	3535487	+
HG01346_1__C4_2	HG01346#1	HG01346	HG01344	C4BL	3547601	3568225	+
HG01346_2__C4_1	HG01346#2	HG01346	HG01344	C4BL	3571070	3591694	+
HG01346_2__C4_2	HG01346#2	HG01346	HG01344	C4BL	3603808	3624432	+
HG01358_1__C4_1	HG01358#1	HG01358	HG01356	C4AL	3516844	3537468	+
HG01358_1__C4_2	HG01358#1	HG01358	HG01356	C4BL	3549582	3570206	+
HG01358_2__C4_1	HG01358#2	HG01358	HG01356	C4AL	3488808	3509432	+
HG01358_2__C4_2	HG01358#2	HG01358	HG01356	C4BS	3521546	3535802	+
HG01433_1__C4_1	HG01433#1	HG01433	HG01431	C4AL	3560832	3581456	+
HG01433_1__C4_2	HG01433#1	HG01433	HG01431	C4BL	3593570	3614194	+
HG01433_2__C4_1	HG01433#2	HG01433	HG01431	C4AL	3562720	3583345	+
HG01433_2__C4_2	HG01433#2	HG01433	HG01431	C4BS	3595458	3609714	+
HG01496_1__C4_1	HG01496#1	HG01496	HG01494	C4AL	3563425	3584049	+
HG01496_1__C4_2	HG01496#1	HG01496	HG01494	C4BS	3596162	3610413	+
HG01496_2__C4_1	HG01496#2	HG01496	HG01494	C4AL	3512509	3533133	+
HG01496_2__C4_2	HG01496#2	HG01496	HG01494	C4BL	3545247	3565871	+
HG01496_2__C4_3	HG01496#2	HG01496	HG01494	C4BL	3577985	3598609	+
HG01530_1__C4_1	HG01530#1	HG01530	HG01530	C4AL	3563504	3584128	+
HG01530_1__C4_2	HG01530#1	HG01530	HG01530	C4BS	3596241	3610492	+
HG01530_2__C4_1	HG01530#2	HG01530	HG01530	C4AL	3508738	3529363	+
HG01530_2__C4_2	HG01530#2	HG01530	HG01530	C4BS	3541476	3555732	+
HG01784_1__C4_1	HG01784#1	HG01784	HG01782	C4AL	3565165	3585789	+
HG01784_1__C4_2	HG01784#1	HG01784	HG01782	C4AL	3597903	3618527	+
HG01784_2__C4_1	HG01784#2	HG01784	HG01782	C4AL	3512913	3533538	+
HG01784_2__C4_2	HG01784#2	HG01784	HG01782	C4BS	3545651	3559907	+
HG01786_1__C4_1	HG01786#1	HG01786	HG01785	C4AL	3560015	3580640	+
HG01786_1__C4_2	HG01786#1	HG01786	HG01785	C4AL	3592754	3613379	+
HG01786_2__C4_1	HG01786#2	HG01786	HG01785	C4AL	3570321	3590945	+
HG01786_2__C4_2	HG01786#2	HG01786	HG01785	C4BS	3603058	3617314	+
HG01884_1__C4_1	HG01884#1	HG01884	HG01884	C4AL	3635862	3656486	+
HG01884_1__C4_2	HG01884#1	HG01884	HG01884	C4BS	3668599	3682855	+
HG01884_2__C4_1	HG01884#2	HG01884	HG01884	C4BL	3631154	3651778	+
HG01884_2__C4_2	HG01884#2	HG01884	HG01884	C4BS	3663893	3678149	+
HG01884_2__C4_3	HG01884#2	HG01884	HG01884	C4BS	3690264	3704520	+
HG01891_1__C4_1	HG01891#1	HG01891	HG01889	C4AL	3632506	3653131	+
HG01891_1__C4_2	HG01891#1	HG01891	HG01889	C4BS	3665245	3679501	+
HG01891_2__C4_1	HG01891#2	HG01891	HG01889	C4AL	3630249	3650874	+
HG01891_2__C4_2	HG01891#2	HG01891	HG01889	C4BS	3662988	3677245	+
HG01928_1__C4_1	HG01928#1	HG01928	HG01926	C4AL	3565714	3586338	+
HG01928_1__C4_2	HG01928#1	HG01928	HG01926	C4BL	3598452	3619076	+
HG01928_2__C4_1	HG01928#2	HG01928	HG01926	C4AL	3565825	3586449	+
HG01928_2__C4_2	HG01928#2	HG01928	HG01926	C4BL	3598683	3619307	+
HG01940_1__C4_1	HG01940#1	HG01940	HG01938	C4AS	3555798	3570055	+
HG01940_1__C4_2	HG01940#1	HG01940	HG01938	C4BS	3582169	3596425	+
HG01940_2__C4_1	HG01940#2	HG01940	HG01938	C4AS	3565258	3579515	+
HG01940_2__C4_2	HG01940#2	HG01940	HG01938	C4BS	3591629	3605885	+
HG01952_1__C4_1	HG01952#1	HG01952	HG01950	C4AS	3635919	3650176	+
HG01952_1__C4_2	HG01952#1	HG01952	HG01950	C4BS	3662290	3676541	+
HG01952_2__C4_1	HG01952#2	HG01952	HG01950	C4AL	3557645	3578269	+
HG01952_2__C4_2	HG01952#2	HG01952	HG01950	C4AS	3590382	3604638	+
HG01969_1__C4_1	HG01969#1	HG01969	HG01967	C4AL	3561717	3582342	+
HG01969_1__C4_2	HG01969#1	HG01969	HG01967	C4BS	3594456	3608713	+
HG01969_2__C4_1	HG01969#2	HG01969	HG01967	C4AL	3566008	3586632	+
HG01969_2__C4_2	HG01969#2	HG01969	HG01967	C4BS	3598745	3612996	+
HG01975_1__C4_1	HG01975#1	HG01975	HG01973	C4AL	3631436	3652060	+
HG01975_1__C4_2	HG01975#1	HG01975	HG01973	C4BL	3664174	3684798	+
HG01975_1__C4_3	HG01975#1	HG01975	HG01973	C4BL	3696912	3717536	+
HG01975_2__C4_1	HG01975#2	HG01975	HG01973	C4AS	3557928	3572185	+
HG01975_2__C4_2	HG01975#2	HG01975	HG01973	C4BS	3584299	3598555	+
HG01993_1__C4_1	HG01993#1	HG01993	HG01991	C4AL	3622657	3643280	+
HG01993_1__C4_2	HG01993#1	HG01993	HG01991	C4BS	3655394	3669649	+
HG01993_2__C4_1	HG01993#2	HG01993	HG01991	C4AL	3571786	3592410	+
HG01993_2__C4_2	HG01993#2	HG01993	HG01991	C4BS	3604523	3618774	+
HG02004_1__C4_1	HG02004#1	HG02004	HG02002	C4AS	3560617	3574874	+
HG02004_1__C4_2	HG02004#1	HG02004	HG02002	C4BS	3586988	3601244	+
HG02004_2__C4_1	HG02004#2	HG02004	HG02002	C4AL	3558909	3579533	+
HG02004_2__C4_2	HG02004#2	HG02004	HG02002	C4BL	3591647	3612271	+
HG02004_2__C4_3	HG02004#2	HG02004	HG02002	C4BL	3624385	3645009	+
HG02015_1__C4_1	HG02015#1	HG02015	HG02015	C4AL	3564886	3585511	+
HG02015_1__C4_2	HG02015#1	HG02015	HG02015	C4AS	3597624	3611881	+
HG02015_1__C4_3	HG02015#1	HG02015	HG02015	C4BS	3623994	3638250	+
HG02015_2__C4_1	HG02015#2	HG02015	HG02015	C4AL	3634754	3655379	+
HG02015_2__C4_2	HG02015#2	HG02015	HG02015	C4BL	3667492	3688116	+
HG02027_1__C4_1	HG02027#1	HG02027	HG02027	C4AL	3568636	3589261	+
HG02027_1__C4_2	HG02027#1	HG02027	HG02027	C4AL	3601374	3621999	+
HG02027_1__C4_3	HG02027#1	HG02027	HG02027	C4BS	3634112	3648368	+
HG02027_2__C4_1	HG02027#2	HG02027	HG02027	C4AL	3565420	3586044	+
HG02027_2__C4_2	HG02027#2	HG02027	HG02027	C4BS	3598157	3612413	+
HG02040_1__C4_1	HG02040#1	HG02040	HG02040	C4AL	3629745	3650370	+
HG02040_1__C4_2	HG02040#1	HG02040	HG02040	C4BS	3662483	3676739	+
HG02040_2__C4_1	HG02040#2	HG02040	HG02040	C4AL	3564179	3584802	+
HG02040_2__C4_2	HG02040#2	HG02040	HG02040	C4BS	3596915	3611166	+
HG02056_1__C4_1	HG02056#1	HG02056	HG02056	C4AL	3631928	3652553	+
HG02056_1__C4_2	HG02056#1	HG02056	HG02056	C4BL	3664666	3685290	+
HG02056_2__C4_1	HG02056#2	HG02056	HG02056	C4AL	3538878	3559502	+
HG02056_2__C4_2	HG02056#2	HG02056	HG02056	C4BL	3571616	3592239	+
HG02074_1__C4_1	HG02074#1	HG02074	HG02074	C4AL	3563041	3583664	+
HG02074_1__C4_2	HG02074#1	HG02074	HG02074	C4BS	3595777	3610028	+
HG02074_2__C4_1	HG02074#2	HG02074	HG02074	C4AL	3570814	3591438	+
HG02074_2__C4_2	HG02074#2	HG02074	HG02074	C4BL	3603552	3624176	+
HG02080_1__C4_1	HG02080#1	HG02080	HG02080	C4AL	3634196	3654821	+
HG02080_2__C4_1	HG02080#2	HG02080	HG02080	C4AL	3561591	3582216	+
HG02080_2__C4_2	HG02080#2	HG02080	HG02080	C4BS	3594331	3608587	+
HG02083_1__C4_1	HG02083#1	HG02083	HG02083	C4AL	3564526	3585150	+
HG02083_1__C4_2	HG02083#1	HG02083	HG02083	C4BL	3597264	3617888	+
HG02083_1__C4_3	HG02083#1	HG02083	HG02083	C4BL	3630002	3650626	+
HG02083_2__C4_1	HG02083#2	HG02083	HG02083	C4AL	3561605	3582225	+
HG02083_2__C4_2	HG02083#2	HG02083	HG02083	C4BS	3594338	3608589	+
HG02109_1__C4_1	HG02109#1	HG02109	HG02109	C4AL	3513541	3534166	+
HG02109_1__C4_2	HG02109#1	HG02109	HG02109	C4BS	3546279	3560535	+
HG02109_2__C4_1	HG02109#2	HG02109	HG02109	C4AL	3644327	3664952	+
HG02109_2__C4_2	HG02109#2	HG02109	HG02109	C4BS	3677066	3691323	+
HG02129_1__C4_1	HG02129#1	HG02129	HG02129	C4BL	3627187	3647811	+
HG02129_1__C4_2	HG02129#1	HG02129	HG02129	C4BS	3659925	3674181	+
HG02129_2__C4_1	HG02129#2	HG02129	HG02129	C4AL	3513413	3534037	+
HG02129_2__C4_2	HG02129#2	HG02129	HG02129	C4BL	3546151	3566775	+
HG02132_1__C4_1	HG02132#1	HG02132	HG02132	C4AL	3563074	3583698	+
HG02132_1__C4_2	HG02132#1	HG02132	HG02132	C4BL	3595812	3616436	+
HG02132_2__C4_1	HG02132#2	HG02132	HG02132	C4AL	3629719	3650343	+
HG02132_2__C4_2	HG02132#2	HG02132	HG02132	C4BS	3662456	3676712	+
HG02145_1__C4_1	HG02145#1	HG02145	HG02143	C4AL	3571958	3592582	+
HG02145_1__C4_2	HG02145#1	HG02145	HG02143	C4BL	3604696	3625320	+
HG02145_2__C4_1	HG02145#2	HG02145	HG02143	C4AL	3628694	3649318	+
HG02145_2__C4_2	HG02145#2	HG02145	HG02143	C4BS	3661432	3675688	+
HG02148_1__C4_1	HG02148#1	HG02148	HG02146	C4AS	3564577	3578834	+
HG02148_1__C4_2	HG02148#1	HG02148	HG02146	C4BS	3590948	3605204	+
HG02148_2__C4_1	HG02148#2	HG02148	HG02146	C4AL	3571852	3592477	+
HG02155_1__C4_1	HG02155#1	HG02155	HG02155	C4BL	3575040	3595665	+
HG02155_2__C4_1	HG02155#2	HG02155	HG02155	C4AL	3630182	3650806	+
HG02155_2__C4_2	HG02155#2	HG02155	HG02155	C4AL	3662920	3683544	+
HG02165_1__C4_1	HG02165#1	HG02165	HG02165	C4AL	3558336	3578956	+
HG02165_1__C4_2	HG02165#1	HG02165	HG02165	C4BL	3591070	3611694	+
HG02165_2__C4_1	HG02165#2	HG02165	HG02165	C4AL	3562879	3583502	+
HG02165_2__C4_2	HG02165#2	HG02165	HG02165	C4BS	3595615	3609866	+
