cohort	donor	family	population	superpopulation	dev	gourraud	cram
test_A_loo	HG00642	PR04	PUR	AMR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988809/HG00642.final.cram
test_A_loo	HG00658	SH074	CHS	EAS	1	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988812/HG00658.final.cram
test_A_loo	HG00673	SH079	CHS	EAS	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988814/HG00673.final.cram
test_A_loo	HG00706	SH090	CHS	EAS	1	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988821/HG00706.final.cram
test_A_loo	HG00733	PR05	PUR	AMR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988823/HG00733.final.cram
test_A_loo	HG00735	PR06	PUR	AMR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988824/HG00735.final.cram
test_A_loo	HG00738	PR07	PUR	AMR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988825/HG00738.final.cram
test_A_loo	HG00741	PR09	PUR	AMR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988826/HG00741.final.cram
test_A_loo	HG01071	PR17	PUR	AMR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988832/HG01071.final.cram
test_A_loo	HG01074	PR18	PUR	AMR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988833/HG01074.final.cram
test_A_loo	HG01081	PR21	PUR	AMR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988834/HG01081.final.cram
test_A_loo	HG01099	PR31	PUR	AMR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988838/HG01099.final.cram
test_A_loo	HG01106	PR25	PUR	AMR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988841/HG01106.final.cram
test_A_loo	HG01109	PR33	PUR	AMR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988842/HG01109.final.cram
test_A_loo	HG01150	CLM12	CLM	AMR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988848/HG01150.final.cram
test_A_loo	HG01167	PR39	PUR	AMR	0	1	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG01167/HG01167.cram
test_A_loo	HG01175	PR36	PUR	AMR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988851/HG01175.final.cram
test_A_loo	HG01192	PR40	PUR	AMR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988855/HG01192.final.cram
test_A_loo	HG01243	PR22	PUR	AMR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988858/HG01243.final.cram
test_A_loo	HG01252	CLM14	CLM	AMR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988860/HG01252.final.cram
test_A_loo	HG01255	CLM15	CLM	AMR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988861/HG01255.final.cram
test_A_loo	HG01258	CLM16	CLM	AMR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988862/HG01258.final.cram
test_A_loo	HG01261	CLM17	CLM	AMR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988863/HG01261.final.cram
test_A_loo	HG01346	CLM27	CLM	AMR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988870/HG01346.final.cram
test_A_loo	HG01358	CLM31	CLM	AMR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988875/HG01358.final.cram
test_A_loo	HG01361	CLM32	CLM	AMR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988876/HG01361.final.cram
test_A_loo	HG01433	CLM43	CLM	AMR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988882/HG01433.final.cram
test_A_loo	HG01496	CLM64	CLM	AMR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988889/HG01496.final.cram
test_A_loo	HG01530	IBS011	IBS	EUR	0	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG01530/HG01530.cram
test_A_loo	HG01784	IBS053	IBS	EUR	0	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG01784/HG01784.cram
test_A_loo	HG01786	IBS054	IBS	EUR	0	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG01786/HG01786.cram
test_A_loo	HG01884	BB03	ACB	AFR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988940/HG01884.final.cram
test_A_loo	HG01891	BB05	ACB	AFR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988943/HG01891.final.cram
test_A_loo	HG01928	PEL011	PEL	AMR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988951/HG01928.final.cram
test_A_loo	HG01934	PEL013	PEL	AMR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988952/HG01934.final.cram
test_A_loo	HG01940	PEL015	PEL	AMR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988954/HG01940.final.cram
test_A_loo	HG01943	PEL016	PEL	AMR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988955/HG01943.final.cram
test_A_loo	HG01952	PEL019	PEL	AMR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988958/HG01952.final.cram
test_A_loo	HG01960	BB11	ACB	AFR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988961/HG01960.final.cram
test_A_loo	HG01969	PEL023	PEL	AMR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988962/HG01969.final.cram
test_A_loo	HG01975	PEL25	PEL	AMR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988964/HG01975.final.cram
test_A_loo	HG01978	PEL26	PEL	AMR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988965/HG01978.final.cram
test_A_loo	HG01981	PEL27	PEL	AMR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988966/HG01981.final.cram
test_A_loo	HG01993	PEL29	PEL	AMR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988970/HG01993.final.cram
test_A_loo	HG02004	PEL33	PEL	AMR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988972/HG02004.final.cram
test_A_loo	HG02015	VN046	KHV	EAS	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988974/HG02015.final.cram
test_A_loo	HG02027	VN050	KHV	EAS	1	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988977/HG02027.final.cram
test_A_loo	HG02040	VN054	KHV	EAS	0	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG02040/HG02040.cram
test_A_loo	HG02055	BB15	ACB	AFR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988979/HG02055.final.cram
test_A_loo	HG02056	VN060	KHV	EAS	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988980/HG02056.final.cram
test_A_loo	HG02071	VN065	KHV	EAS	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988983/HG02071.final.cram
test_A_loo	HG02074	VN066	KHV	EAS	1	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988984/HG02074.final.cram
test_A_loo	HG02080	VN068	KHV	EAS	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988986/HG02080.final.cram
test_A_loo	HG02083	VN069	KHV	EAS	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988987/HG02083.final.cram
test_A_loo	HG02129	VN079	KHV	EAS	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988992/HG02129.final.cram
test_A_loo	HG02132	VN080	KHV	EAS	1	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988993/HG02132.final.cram
test_A_loo	HG02135	VN081	KHV	EAS	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988994/HG02135.final.cram
test_A_loo	HG02145	BB20	ACB	AFR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988995/HG02145.final.cram
test_A_loo	HG02148	PEL39	PEL	AMR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988996/HG02148.final.cram
test_A_loo	HG02155	HG02155	CDX	EAS	1	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG02155/HG02155.cram
test_A_loo	HG02165	HG02165	CDX	EAS	1	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG02165/HG02165.cram
test_A_loo	HG02178	HG02178	CDX	EAS	1	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG02178/HG02178.cram
test_A_loo	HG02257	BB21	ACB	AFR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989003/HG02257.final.cram
test_A_loo	HG02258	BB22	ACB	AFR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989004/HG02258.final.cram
test_A_loo	HG02273	PEL46	PEL	AMR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989006/HG02273.final.cram
test_A_loo	HG02280	BB23	ACB	AFR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989008/HG02280.final.cram
test_A_loo	HG02293	PEL51	PEL	AMR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989010/HG02293.final.cram
test_A_loo	HG02300	PEL52	PEL	AMR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989011/HG02300.final.cram
test_A_loo	HG02391	HG02391	CDX	EAS	1	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG02391/HG02391.cram
test_A_loo	HG02392	HG02392	CDX	EAS	0	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG02392/HG02392.cram
test_A_loo	HG02451	BB46	ACB	AFR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989016/HG02451.final.cram
test_A_loo	HG02514	VN087	KHV	EAS	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989021/HG02514.final.cram
test_A_loo	HG02523	VN090	KHV	EAS	1	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989022/HG02523.final.cram
test_A_loo	HG02572	GB21	GWD	AFR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989028/HG02572.final.cram
test_A_loo	HG02583	GB23	GWD	AFR	0	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG02583/HG02583.cram
test_A_loo	HG02602	PK09	PJL	SAS	1	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989034/HG02602.final.cram
test_A_loo	HG02615	GB29	GWD	AFR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989037/HG02615.final.cram
test_A_loo	HG02622	GB31	GWD	AFR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989038/HG02622.final.cram
test_A_loo	HG02630	GB33	GWD	AFR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989040/HG02630.final.cram
test_A_loo	HG02647	GB38	GWD	AFR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989043/HG02647.final.cram
test_A_loo	HG02668	GB40	GWD	AFR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989049/HG02668.final.cram
test_A_loo	HG02698	PK21	PJL	SAS	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989056/HG02698.final.cram
test_A_loo	HG02717	GB50	GWD	AFR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989059/HG02717.final.cram
test_A_loo	HG02723	GB52	GWD	AFR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989060/HG02723.final.cram
test_A_loo	HG02735	PK26	PJL	SAS	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989063/HG02735.final.cram
test_A_loo	HG02738	PK27	PJL	SAS	1	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989064/HG02738.final.cram
test_A_loo	HG02809	GB63	GWD	AFR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989077/HG02809.final.cram
test_A_loo	HG02818	GB66	GWD	AFR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989080/HG02818.final.cram
test_A_loo	HG02841	GB74	GWD	AFR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989083/HG02841.final.cram
test_A_loo	HG02886	GB89	GWD	AFR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989091/HG02886.final.cram
test_A_loo	HG02922	NG06	ESN	AFR	0	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG02922/HG02922.cram
test_A_loo	HG02965	NG20	ESN	AFR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989100/HG02965.final.cram
test_A_loo	HG02976	NG24	ESN	AFR	0	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG02976/HG02976.cram
test_A_loo	HG02984	GB97	GWD	AFR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989106/HG02984.final.cram
test_A_loo	HG03017	PK35	PJL	SAS	1	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989108/HG03017.final.cram
test_A_loo	HG03041	GB110	GWD	AFR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989114/HG03041.final.cram
test_A_loo	HG03050	GB113	GWD	AFR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989116/HG03050.final.cram
test_A_loo	HG03098	SL16	MSL	AFR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989119/HG03098.final.cram
test_A_loo	HG03130	NG36	ESN	AFR	0	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG03130/HG03130.cram
test_A_loo	HG03139	NG39	ESN	AFR	0	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG03139/HG03139.cram
test_A_loo	HG03195	NG58	ESN	AFR	0	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG03195/HG03195.cram
test_A_loo	HG03209	SL17	MSL	AFR	0	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG03209/HG03209.cram
test_A_loo	HG03225	SL23	MSL	AFR	0	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG03225/HG03225.cram
test_A_loo	HG03239	PK41	PJL	SAS	1	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989139/HG03239.final.cram
test_A_loo	HG03270	NG65	ESN	AFR	0	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG03270/HG03270.cram
test_A_loo	HG03369	NG98	ESN	AFR	0	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG03369/HG03369.cram
test_A_loo	HG03453	SL50	MSL	AFR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989166/HG03453.final.cram
test_A_loo	HG03470	SL56	MSL	AFR	0	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG03470/HG03470.cram
test_A_loo	HG03486	SL61	MSL	AFR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989170/HG03486.final.cram
test_A_loo	HG03516	NG107	ESN	AFR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989174/HG03516.final.cram
test_A_loo	HG03521	NG109	ESN	AFR	0	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG03521/HG03521.cram
test_A_loo	HG03540	GB125	GWD	AFR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989177/HG03540.final.cram
test_A_loo	HG03579	SL72	MSL	AFR	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989180/HG03579.final.cram
test_A_loo	HG03583	SL73	MSL	AFR	0	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG03583/HG03583.cram
test_A_loo	HG03654	PK53	PJL	SAS	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989196/HG03654.final.cram
test_A_loo	HG03669	PK58	PJL	SAS	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989197/HG03669.final.cram
test_A_loo	HG03688	ST016	STU	SAS	1	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989200/HG03688.final.cram
test_A_loo	HG03704	PK60	PJL	SAS	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989204/HG03704.final.cram
test_A_loo	HG03710	PK62	PJL	SAS	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989206/HG03710.final.cram
test_A_loo	HG03742	IT015	ITU	SAS	1	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG03742/HG03742.cram
test_A_loo	HG03784	IT023	ITU	SAS	1	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG03784/HG03784.cram
test_A_loo	HG03804	BD18	BEB	SAS	1	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989219/HG03804.final.cram
test_A_loo	HG03816	BD22	BEB	SAS	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989222/HG03816.final.cram
test_A_loo	HG03831	BD27	BEB	SAS	1	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989224/HG03831.final.cram
test_A_loo	HG03834	BD28	BEB	SAS	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989225/HG03834.final.cram
test_A_loo	HG03874	IT006	ITU	SAS	1	0	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/HG03874/HG03874.cram
test_A_loo	HG03927	BD37	BEB	SAS	1	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989230/HG03927.final.cram
test_A_loo	HG03942	BD42	BEB	SAS	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989233/HG03942.final.cram
test_A_loo	HG04115	ST111	STU	SAS	1	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989236/HG04115.final.cram
test_A_loo	HG04157	BD52	BEB	SAS	1	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989249/HG04157.final.cram
test_A_loo	HG04160	BD53	BEB	SAS	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989250/HG04160.final.cram
test_A_loo	HG04184	BD61	BEB	SAS	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989253/HG04184.final.cram
test_A_loo	HG04187	BD62	BEB	SAS	1	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989254/HG04187.final.cram
test_A_loo	HG04199	ST203	STU	SAS	1	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989258/HG04199.final.cram
test_A_loo	HG04204	ST006	STU	SAS	1	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989259/HG04204.final.cram
test_A_loo	HG04228	ST232	STU	SAS	0	0	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3989262/HG04228.final.cram
test_A_loo	NA18505	Y005	YRI	AFR	0	1	/usr/local/shared_data/public-human-genomes/GRCh38/1000Genomes/CRAM/NA18505/NA18505.cram
