donor	cram
HG00173	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240161/HG00173.final.cram
HG00174	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240162/HG00174.final.cram
HG00176	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240163/HG00176.final.cram
HG00177	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240164/HG00177.final.cram
HG00178	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240165/HG00178.final.cram
HG00179	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240166/HG00179.final.cram
HG00180	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240167/HG00180.final.cram
HG00181	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240168/HG00181.final.cram
HG00182	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240169/HG00182.final.cram
HG00183	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240170/HG00183.final.cram
HG00185	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240171/HG00185.final.cram
HG00186	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240172/HG00186.final.cram
HG00187	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240173/HG00187.final.cram
HG00188	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240174/HG00188.final.cram
HG00189	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240175/HG00189.final.cram
HG00190	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240176/HG00190.final.cram
HG00231	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240201/HG00231.final.cram
HG00233	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240177/HG00233.final.cram
HG00234	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240178/HG00234.final.cram
HG00236	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240203/HG00236.final.cram
HG00237	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240204/HG00237.final.cram
HG00238	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240180/HG00238.final.cram
HG00239	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240205/HG00239.final.cram
HG00240	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240181/HG00240.final.cram
HG00242	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240206/HG00242.final.cram
HG00243	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240207/HG00243.final.cram
HG00244	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240208/HG00244.final.cram
HG00245	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240209/HG00245.final.cram
HG00246	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241780/HG00246.final.cram
HG00250	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241781/HG00250.final.cram
HG00251	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241782/HG00251.final.cram
HG00252	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240210/HG00252.final.cram
HG00254	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240212/HG00254.final.cram
HG00255	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240182/HG00255.final.cram
HG00256	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240213/HG00256.final.cram
HG00257	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240214/HG00257.final.cram
HG00258	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240215/HG00258.final.cram
HG00259	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240216/HG00259.final.cram
HG00260	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240217/HG00260.final.cram
HG00261	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240218/HG00261.final.cram
HG00262	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240219/HG00262.final.cram
HG00263	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240220/HG00263.final.cram
HG00264	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240221/HG00264.final.cram
HG00265	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240222/HG00265.final.cram
HG00266	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240223/HG00266.final.cram
HG00267	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240224/HG00267.final.cram
HG00268	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240225/HG00268.final.cram
HG00269	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240226/HG00269.final.cram
HG00271	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240227/HG00271.final.cram
HG00273	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240229/HG00273.final.cram
HG00274	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241783/HG00274.final.cram
HG00275	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241784/HG00275.final.cram
HG00276	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241785/HG00276.final.cram
HG00277	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241786/HG00277.final.cram
HG00278	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241787/HG00278.final.cram
HG00281	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241789/HG00281.final.cram
HG00282	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241790/HG00282.final.cram
HG00284	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241791/HG00284.final.cram
HG00285	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241792/HG00285.final.cram
HG00306	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240230/HG00306.final.cram
HG00308	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240231/HG00308.final.cram
HG00309	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240232/HG00309.final.cram
HG00310	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241793/HG00310.final.cram
HG00311	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240233/HG00311.final.cram
HG00313	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240234/HG00313.final.cram
HG00315	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240235/HG00315.final.cram
HG00318	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240236/HG00318.final.cram
HG00319	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240237/HG00319.final.cram
HG00324	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241794/HG00324.final.cram
HG00325	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241795/HG00325.final.cram
HG00326	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241796/HG00326.final.cram
HG00327	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240241/HG00327.final.cram
HG00328	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240242/HG00328.final.cram
HG00330	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241798/HG00330.final.cram
HG00331	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241799/HG00331.final.cram
HG00332	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241800/HG00332.final.cram
HG00334	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241801/HG00334.final.cram
HG00335	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240243/HG00335.final.cram
HG00336	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240244/HG00336.final.cram
HG00337	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240245/HG00337.final.cram
HG00338	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240246/HG00338.final.cram
HG00339	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240247/HG00339.final.cram
HG00341	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241802/HG00341.final.cram
HG00342	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240248/HG00342.final.cram
HG00343	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240249/HG00343.final.cram
HG00345	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240251/HG00345.final.cram
HG00346	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240252/HG00346.final.cram
HG00349	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240253/HG00349.final.cram
HG00351	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240255/HG00351.final.cram
HG00353	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240256/HG00353.final.cram
HG00355	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240257/HG00355.final.cram
HG00356	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240258/HG00356.final.cram
HG00357	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240259/HG00357.final.cram
HG00358	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240260/HG00358.final.cram
HG00360	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240261/HG00360.final.cram
HG00361	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240262/HG00361.final.cram
HG00362	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240263/HG00362.final.cram
HG00364	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240264/HG00364.final.cram
HG00365	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240265/HG00365.final.cram
HG00366	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240266/HG00366.final.cram
HG00367	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240267/HG00367.final.cram
HG00368	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240268/HG00368.final.cram
HG00369	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240269/HG00369.final.cram
HG00371	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240270/HG00371.final.cram
HG00372	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240271/HG00372.final.cram
HG00373	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240272/HG00373.final.cram
HG00375	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240273/HG00375.final.cram
HG00376	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240274/HG00376.final.cram
HG00378	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241659/HG00378.final.cram
HG00379	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241660/HG00379.final.cram
HG00380	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241661/HG00380.final.cram
HG00381	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241662/HG00381.final.cram
HG00382	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241663/HG00382.final.cram
HG00383	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241803/HG00383.final.cram
HG00384	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241664/HG00384.final.cram
HG00403	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241665/HG00403.final.cram
HG00404	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241666/HG00404.final.cram
HG00418	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988763/HG00418.final.cram
HG00419	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241669/HG00419.final.cram
HG00427	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988766/HG00427.final.cram
HG00428	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241672/HG00428.final.cram
HG00442	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240183/HG00442.final.cram
HG00443	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240184/HG00443.final.cram
HG00445	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240185/HG00445.final.cram
HG00446	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240186/HG00446.final.cram
HG00448	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240187/HG00448.final.cram
HG00449	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240188/HG00449.final.cram
HG00451	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240189/HG00451.final.cram
HG00452	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240190/HG00452.final.cram
HG00457	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241675/HG00457.final.cram
HG00458	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241676/HG00458.final.cram
HG00463	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240191/HG00463.final.cram
HG00464	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240192/HG00464.final.cram
HG00472	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241677/HG00472.final.cram
HG00473	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241678/HG00473.final.cram
HG00475	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241679/HG00475.final.cram
HG00476	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241680/HG00476.final.cram
HG00478	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241681/HG00478.final.cram
HG00479	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241682/HG00479.final.cram
HG00500	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241683/HG00500.final.cram
HG00501	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988778/HG00501.final.cram
HG00512	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988780/HG00512.final.cram
HG00513	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241684/HG00513.final.cram
HG00524	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241685/HG00524.final.cram
HG00525	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241686/HG00525.final.cram
HG00530	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241687/HG00530.final.cram
HG00531	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241688/HG00531.final.cram
HG00533	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241689/HG00533.final.cram
HG00534	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241690/HG00534.final.cram
HG00536	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241691/HG00536.final.cram
HG00537	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241692/HG00537.final.cram
HG00551	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241804/HG00551.final.cram
HG00553	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241695/HG00553.final.cram
HG00554	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241696/HG00554.final.cram
HG00559	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241699/HG00559.final.cram
HG00560	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241700/HG00560.final.cram
HG00565	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241701/HG00565.final.cram
HG00566	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241702/HG00566.final.cram
HG00577	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988792/HG00577.final.cram
HG00578	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988793/HG00578.final.cram
HG00580	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241703/HG00580.final.cram
HG00581	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241704/HG00581.final.cram
HG00583	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241705/HG00583.final.cram
HG00584	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241706/HG00584.final.cram
HG00589	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241707/HG00589.final.cram
HG00590	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241708/HG00590.final.cram
HG00592	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241709/HG00592.final.cram
HG00593	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241710/HG00593.final.cram
HG00610	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241715/HG00610.final.cram
HG00611	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241716/HG00611.final.cram
HG00613	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241717/HG00613.final.cram
HG00614	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241718/HG00614.final.cram
HG00625	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241721/HG00625.final.cram
HG00626	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241722/HG00626.final.cram
HG00628	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241723/HG00628.final.cram
HG00629	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241724/HG00629.final.cram
HG00634	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241725/HG00634.final.cram
HG00635	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988806/HG00635.final.cram
HG00650	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241730/HG00650.final.cram
HG00651	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241731/HG00651.final.cram
HG00653	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241732/HG00653.final.cram
HG00654	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241733/HG00654.final.cram
HG00662	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241736/HG00662.final.cram
HG00663	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241737/HG00663.final.cram
HG00683	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241740/HG00683.final.cram
HG00684	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241741/HG00684.final.cram
HG00689	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241742/HG00689.final.cram
HG00690	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241743/HG00690.final.cram
HG00692	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241744/HG00692.final.cram
HG00693	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241745/HG00693.final.cram
HG00698	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241746/HG00698.final.cram
HG00699	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241747/HG00699.final.cram
HG00701	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241748/HG00701.final.cram
HG00702	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988819/HG00702.final.cram
HG00707	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241751/HG00707.final.cram
HG00708	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241752/HG00708.final.cram
HG01048	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241761/HG01048.final.cram
HG01049	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241762/HG01049.final.cram
HG01051	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241805/HG01051.final.cram
