donor	stratum	population	family	fold	cohort	cram
HG00113	EUR	GBR	HG00113	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240129/HG00113.final.cram
HG00114	EUR	GBR	HG00114	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240130/HG00114.final.cram
HG00115	EUR	GBR	HG00115	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240131/HG00115.final.cram
HG00116	EUR	GBR	HG00116	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240132/HG00116.final.cram
HG00117	EUR	GBR	HG00117	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240133/HG00117.final.cram
HG00118	EUR	GBR	HG00118	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240193/HG00118.final.cram
HG00119	EUR	GBR	HG00119	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240194/HG00119.final.cram
HG00120	EUR	GBR	HG00120	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240134/HG00120.final.cram
HG00121	EUR	GBR	HG00121	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240195/HG00121.final.cram
HG00122	EUR	GBR	HG00122	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240196/HG00122.final.cram
HG00123	EUR	GBR	HG00123	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240197/HG00123.final.cram
HG00125	EUR	GBR	HG00125	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240198/HG00125.final.cram
HG00127	EUR	GBR	HG00127	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240135/HG00127.final.cram
HG00129	EUR	GBR	HG00129	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240137/HG00129.final.cram
HG00130	EUR	GBR	HG00130	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240138/HG00130.final.cram
HG00131	EUR	GBR	HG00131	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240139/HG00131.final.cram
HG00132	EUR	GBR	HG00132	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240140/HG00132.final.cram
HG00136	EUR	GBR	HG00136	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240142/HG00136.final.cram
HG00137	EUR	GBR	HG00137	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240143/HG00137.final.cram
HG00138	EUR	GBR	HG00138	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240144/HG00138.final.cram
HG00139	EUR	GBR	HG00139	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240145/HG00139.final.cram
HG00141	EUR	GBR	HG00141	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240147/HG00141.final.cram
HG00142	EUR	GBR	HG00142	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240148/HG00142.final.cram
HG00143	EUR	GBR	HG00143	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240149/HG00143.final.cram
HG00145	EUR	GBR	HG00145	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240150/HG00145.final.cram
HG00148	EUR	GBR	HG00148	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240152/HG00148.final.cram
HG00149	EUR	GBR	HG00149	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240153/HG00149.final.cram
HG00150	EUR	GBR	HG00150	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240154/HG00150.final.cram
HG00151	EUR	GBR	HG00151	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240155/HG00151.final.cram
HG00154	EUR	GBR	HG00154	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241779/HG00154.final.cram
HG00155	EUR	GBR	GBR001	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240156/HG00155.final.cram
HG00157	EUR	GBR	HG00157	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240157/HG00157.final.cram
HG00158	EUR	GBR	GBR003	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240158/HG00158.final.cram
HG00159	EUR	GBR	HG00159	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240200/HG00159.final.cram
HG00160	EUR	GBR	HG00160	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240159/HG00160.final.cram
HG00171	EUR	FIN	HG00171	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240160/HG00171.final.cram
HG00173	EUR	FIN	HG00173	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240161/HG00173.final.cram
HG00174	EUR	FIN	HG00174	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240162/HG00174.final.cram
HG00176	EUR	FIN	HG00176	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240163/HG00176.final.cram
HG00177	EUR	FIN	HG00177	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240164/HG00177.final.cram
HG00178	EUR	FIN	HG00178	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240165/HG00178.final.cram
HG00179	EUR	FIN	HG00179	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240166/HG00179.final.cram
HG00180	EUR	FIN	HG00180	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240167/HG00180.final.cram
HG00181	EUR	FIN	HG00181	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240168/HG00181.final.cram
HG00182	EUR	FIN	HG00182	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240169/HG00182.final.cram
HG00183	EUR	FIN	HG00183	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240170/HG00183.final.cram
HG00185	EUR	FIN	HG00185	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240171/HG00185.final.cram
HG00186	EUR	FIN	HG00186	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240172/HG00186.final.cram
HG00187	EUR	FIN	HG00187	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240173/HG00187.final.cram
HG00188	EUR	FIN	HG00188	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240174/HG00188.final.cram
HG00189	EUR	FIN	HG00189	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240175/HG00189.final.cram
HG00190	EUR	FIN	HG00190	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240176/HG00190.final.cram
HG00231	EUR	GBR	HG00231	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240201/HG00231.final.cram
HG00233	EUR	GBR	HG00233	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240177/HG00233.final.cram
HG00234	EUR	GBR	HG00234	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240178/HG00234.final.cram
HG00236	EUR	GBR	HG00236	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240203/HG00236.final.cram
HG00237	EUR	GBR	HG00237	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240204/HG00237.final.cram
HG00238	EUR	GBR	HG00238	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240180/HG00238.final.cram
HG00239	EUR	GBR	HG00239	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240205/HG00239.final.cram
HG00240	EUR	GBR	HG00240	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240181/HG00240.final.cram
HG00242	EUR	GBR	HG00242	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240206/HG00242.final.cram
HG00243	EUR	GBR	HG00243	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240207/HG00243.final.cram
HG00244	EUR	GBR	HG00244	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240208/HG00244.final.cram
HG00245	EUR	GBR	HG00245	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240209/HG00245.final.cram
HG00246	EUR	GBR	HG00246	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241780/HG00246.final.cram
HG00250	EUR	GBR	HG00250	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241781/HG00250.final.cram
HG00251	EUR	GBR	HG00251	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241782/HG00251.final.cram
HG00252	EUR	GBR	HG00252	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240210/HG00252.final.cram
HG00254	EUR	GBR	HG00254	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240212/HG00254.final.cram
HG00255	EUR	GBR	HG00255	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240182/HG00255.final.cram
HG00256	EUR	GBR	HG00256	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240213/HG00256.final.cram
HG00257	EUR	GBR	HG00257	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240214/HG00257.final.cram
HG00258	EUR	GBR	HG00258	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240215/HG00258.final.cram
HG00259	EUR	GBR	HG00259	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240216/HG00259.final.cram
HG00260	EUR	GBR	HG00260	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240217/HG00260.final.cram
HG00261	EUR	GBR	HG00261	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240218/HG00261.final.cram
HG00262	EUR	GBR	HG00262	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240219/HG00262.final.cram
HG00263	EUR	GBR	HG00263	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240220/HG00263.final.cram
HG00264	EUR	GBR	HG00264	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240221/HG00264.final.cram
HG00265	EUR	GBR	HG00265	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240222/HG00265.final.cram
HG00266	EUR	FIN	HG00266	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240223/HG00266.final.cram
HG00267	EUR	FIN	HG00267	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240224/HG00267.final.cram
HG00268	EUR	FIN	HG00268	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240225/HG00268.final.cram
HG00269	EUR	FIN	HG00269	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240226/HG00269.final.cram
HG00271	EUR	FIN	HG00271	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240227/HG00271.final.cram
HG00273	EUR	FIN	HG00273	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240229/HG00273.final.cram
HG00274	EUR	FIN	HG00274	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241783/HG00274.final.cram
HG00275	EUR	FIN	HG00275	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241784/HG00275.final.cram
HG00276	EUR	FIN	HG00276	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241785/HG00276.final.cram
HG00277	EUR	FIN	HG00277	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241786/HG00277.final.cram
HG00278	EUR	FIN	HG00278	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241787/HG00278.final.cram
HG00281	EUR	FIN	HG00281	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241789/HG00281.final.cram
HG00282	EUR	FIN	HG00282	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241790/HG00282.final.cram
HG00284	EUR	FIN	HG00284	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241791/HG00284.final.cram
HG00285	EUR	FIN	HG00285	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241792/HG00285.final.cram
HG00306	EUR	FIN	HG00306	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240230/HG00306.final.cram
HG00308	EUR	FIN	HG00308	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240231/HG00308.final.cram
HG00309	EUR	FIN	HG00309	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240232/HG00309.final.cram
HG00310	EUR	FIN	HG00310	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241793/HG00310.final.cram
HG00311	EUR	FIN	HG00311	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240233/HG00311.final.cram
HG00313	EUR	FIN	HG00313	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240234/HG00313.final.cram
HG00315	EUR	FIN	HG00315	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240235/HG00315.final.cram
HG00318	EUR	FIN	HG00318	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240236/HG00318.final.cram
HG00319	EUR	FIN	HG00319	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240237/HG00319.final.cram
HG00324	EUR	FIN	HG00324	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241794/HG00324.final.cram
HG00325	EUR	FIN	HG00325	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241795/HG00325.final.cram
HG00326	EUR	FIN	HG00326	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241796/HG00326.final.cram
HG00327	EUR	FIN	HG00327	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240241/HG00327.final.cram
HG00328	EUR	FIN	HG00328	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240242/HG00328.final.cram
HG00330	EUR	FIN	HG00330	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241798/HG00330.final.cram
HG00331	EUR	FIN	HG00331	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241799/HG00331.final.cram
HG00332	EUR	FIN	HG00332	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241800/HG00332.final.cram
HG00334	EUR	FIN	HG00334	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241801/HG00334.final.cram
HG00335	EUR	FIN	HG00335	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240243/HG00335.final.cram
HG00336	EUR	FIN	HG00336	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240244/HG00336.final.cram
HG00337	EUR	FIN	HG00337	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240245/HG00337.final.cram
HG00338	EUR	FIN	HG00338	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240246/HG00338.final.cram
HG00339	EUR	FIN	HG00339	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240247/HG00339.final.cram
HG00341	EUR	FIN	HG00341	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241802/HG00341.final.cram
HG00342	EUR	FIN	HG00342	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240248/HG00342.final.cram
HG00343	EUR	FIN	HG00343	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240249/HG00343.final.cram
HG00345	EUR	FIN	HG00345	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240251/HG00345.final.cram
HG00346	EUR	FIN	HG00346	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240252/HG00346.final.cram
HG00349	EUR	FIN	HG00349	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240253/HG00349.final.cram
HG00351	EUR	FIN	HG00351	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240255/HG00351.final.cram
HG00353	EUR	FIN	HG00353	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240256/HG00353.final.cram
HG00355	EUR	FIN	HG00355	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240257/HG00355.final.cram
HG00356	EUR	FIN	HG00356	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240258/HG00356.final.cram
HG00357	EUR	FIN	HG00357	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240259/HG00357.final.cram
HG00358	EUR	FIN	HG00358	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240260/HG00358.final.cram
HG00360	EUR	FIN	HG00360	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240261/HG00360.final.cram
HG00361	EUR	FIN	HG00361	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240262/HG00361.final.cram
HG00362	EUR	FIN	HG00362	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240263/HG00362.final.cram
HG00364	EUR	FIN	HG00364	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240264/HG00364.final.cram
HG00365	EUR	FIN	HG00365	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240265/HG00365.final.cram
HG00366	EUR	FIN	HG00366	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240266/HG00366.final.cram
HG00367	EUR	FIN	HG00367	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240267/HG00367.final.cram
HG00368	EUR	FIN	HG00368	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240268/HG00368.final.cram
HG00369	EUR	FIN	HG00369	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240269/HG00369.final.cram
HG00371	EUR	FIN	HG00371	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240270/HG00371.final.cram
HG00372	EUR	FIN	HG00372	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240271/HG00372.final.cram
HG00373	EUR	FIN	HG00373	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240272/HG00373.final.cram
HG00375	EUR	FIN	HG00375	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240273/HG00375.final.cram
HG00376	EUR	FIN	HG00376	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240274/HG00376.final.cram
HG00378	EUR	FIN	HG00378	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241659/HG00378.final.cram
HG00379	EUR	FIN	HG00379	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241660/HG00379.final.cram
HG00380	EUR	FIN	HG00380	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241661/HG00380.final.cram
HG00381	EUR	FIN	HG00381	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241662/HG00381.final.cram
HG00382	EUR	FIN	HG00382	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241663/HG00382.final.cram
HG00383	EUR	FIN	HG00383	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241803/HG00383.final.cram
HG00384	EUR	FIN	HG00384	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241664/HG00384.final.cram
HG00403	EAS	CHS	SH001	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241665/HG00403.final.cram
HG00404	EAS	CHS	SH001	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241666/HG00404.final.cram
HG00418	EAS	CHS	SH006	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988763/HG00418.final.cram
HG00419	EAS	CHS	SH006	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241669/HG00419.final.cram
HG00427	EAS	CHS	SH009	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/additional_698_related/data/ERR3988766/HG00427.final.cram
HG00428	EAS	CHS	SH009	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3241672/HG00428.final.cram
HG00442	EAS	CHS	SH014	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240183/HG00442.final.cram
HG00443	EAS	CHS	SH014	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240184/HG00443.final.cram
HG00445	EAS	CHS	SH015	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240185/HG00445.final.cram
HG00446	EAS	CHS	SH015	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240186/HG00446.final.cram
HG00448	EAS	CHS	SH016	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240187/HG00448.final.cram
HG00449	EAS	CHS	SH016	0	Gourraud2014	https://s3.amazonaws.com/1000genomes/1000G_2504_high_coverage/data/ERR3240188/HG00449.final.cram
