locus	haplotype	hap_id	gene	strand	clipped	gene_start0	gene_end0	cds
HLA-A	apr006.2	apr006#2	A	+	0	5493	9010	5793-5866,5996-6266,6507-6783,7383-7659,7758-7875,8313-8346,8488-8536,8705-8710
HLA-A	apr007.1	apr007#1	A	+	0	5500	9017	5800-5873,6003-6273,6514-6790,7390-7666,7765-7882,8320-8353,8495-8543,8712-8717
HLA-A	apr007.2	apr007#2	A	+	0	5505	9022	5805-5878,6008-6278,6519-6795,7395-7671,7770-7887,8325-8358,8500-8548,8717-8722
HLA-A	apr008.1	apr008#1	A	+	0	5487	8990	5787-5860,5990-6260,6501-6777,7356-7632,7734-7851,8293-8326,8468-8516,8685-8690
HLA-A	apr008.2	apr008#2	A	+	0	5494	9012	5794-5867,5996-6266,6507-6783,7383-7659,7758-7875,8315-8348,8490-8538,8707-8712
HLA-A	apr009.1	apr009#1	A	+	0	5504	9021	5804-5877,6007-6277,6518-6794,7394-7670,7769-7886,8324-8357,8499-8547,8716-8721
HLA-A	apr009.2	apr009#2	A	+	0	5488	8990	5788-5861,5991-6261,6502-6778,7357-7633,7735-7852,8294-8327,8469-8517,8685-8690
HLA-A	apr010.1	apr010#1	A	+	0	5496	8999	5796-5869,5999-6269,6510-6786,7365-7641,7743-7860,8302-8335,8477-8525,8694-8699
HLA-A	apr010.2	apr010#2	A	+	0	5492	8994	5792-5865,5995-6265,6506-6782,7360-7636,7738-7855,8297-8330,8472-8520,8689-8694
HLA-A	apr011.1	apr011#1	A	+	0	5493	9011	5793-5866,5995-6265,6506-6782,7382-7658,7757-7874,8314-8347,8489-8537,8706-8711
HLA-A	apr011.2	apr011#2	A	+	0	5491	9008	5791-5864,5994-6264,6505-6781,7381-7657,7756-7873,8311-8344,8486-8534,8703-8708
HLA-A	apr012.1	apr012#1	A	+	0	5502	9020	5802-5875,6004-6274,6515-6791,7391-7667,7766-7883,8323-8356,8498-8546,8715-8720
HLA-A	apr012.2	apr012#2	A	+	0	5493	9011	5793-5866,5995-6265,6506-6782,7382-7658,7757-7874,8314-8347,8489-8537,8706-8711
HLA-A	apr013.1	apr013#1	A	+	0	5488	8990	5788-5861,5991-6261,6502-6778,7357-7633,7735-7852,8294-8327,8469-8517,8685-8690
HLA-A	apr013.2	apr013#2	A	+	0	5500	9017	5800-5873,6003-6273,6514-6790,7390-7666,7765-7882,8320-8353,8495-8543,8712-8717
HLA-A	apr014.1	apr014#1	A	+	0	5778	8737	5794-5867,5996-6266,6507-6783,7383-7659,7758-7875,8315-8348,8490-8538,8707-8712
HLA-A	apr014.2	apr014#2	A	+	0	5487	8990	5787-5860,5990-6260,6501-6777,7356-7632,7734-7851,8293-8326,8468-8516,8685-8690
HLA-A	apr015.1	apr015#1	A	+	0	5507	9024	5807-5880,6010-6280,6521-6797,7397-7673,7772-7889,8327-8360,8502-8550,8719-8724
HLA-A	apr015.2	apr015#2	A	+	0	5499	9016	5799-5872,6002-6272,6513-6789,7389-7665,7764-7881,8319-8352,8494-8542,8711-8716
HLA-A	apr016.1	apr016#1	A	+	0	5501	9018	5801-5874,6004-6274,6515-6791,7391-7667,7766-7883,8321-8354,8496-8544,8713-8718
HLA-A	apr016.2	apr016#2	A	+	0	5505	9022	5805-5878,6008-6278,6519-6795,7395-7671,7770-7887,8325-8358,8500-8548,8717-8722
HLA-A	apr018.1	apr018#1	A	+	0	5507	9024	5807-5880,6010-6280,6521-6797,7397-7673,7772-7889,8327-8360,8502-8550,8719-8724
HLA-A	apr018.2	apr018#2	A	+	0	5494	9012	5794-5867,5996-6266,6507-6783,7383-7659,7758-7875,8315-8348,8490-8538,8707-8712
HLA-A	apr019.1	apr019#1	A	+	0	5505	9022	5805-5878,6008-6278,6519-6795,7395-7671,7770-7887,8325-8358,8500-8548,8717-8722
HLA-A	apr019.2	apr019#2	A	+	0	5501	9018	5801-5874,6004-6274,6515-6791,7391-7667,7766-7883,8321-8354,8496-8544,8713-8718
HLA-A	apr020.1	apr020#1	A	+	0	5488	8991	5788-5861,5991-6261,6502-6778,7357-7633,7735-7852,8294-8327,8469-8517,8686-8691
HLA-A	apr020.2	apr020#2	A	+	0	5501	9018	5801-5874,6004-6274,6515-6791,7391-7667,7766-7883,8321-8354,8496-8544,8713-8718
HLA-A	apr021.1	apr021#1	A	+	0	5508	9025	5808-5881,6011-6281,6522-6798,7398-7674,7773-7890,8328-8361,8503-8551,8720-8725
HLA-A	apr021.2	apr021#2	A	+	0	5496	8999	5796-5869,5999-6269,6510-6786,7365-7641,7743-7860,8302-8335,8477-8525,8694-8699
HLA-A	apr022.1	apr022#1	A	+	0	5496	8999	5796-5869,5999-6269,6510-6786,7365-7641,7743-7860,8302-8335,8477-8525,8694-8699
HLA-A	apr022.2	apr022#2	A	+	0	5500	9017	5800-5873,6003-6273,6514-6790,7390-7666,7765-7882,8320-8353,8495-8543,8712-8717
HLA-A	apr023.1	apr023#1	A	+	0	5508	9025	5808-5881,6011-6281,6522-6798,7398-7674,7773-7890,8328-8361,8503-8551,8720-8725
HLA-A	apr023.2	apr023#2	A	+	0	5489	8862	5789-5862,5992-6262,6503-6779,7358-7634,7736-7853,8295-8328,8470-8518,8686-8691
HLA-A	apr024.1	apr024#1	A	+	0	5496	8999	5796-5869,5999-6269,6510-6786,7365-7641,7743-7860,8302-8335,8477-8525,8694-8699
HLA-A	apr024.2	apr024#2	A	+	0	5492	8995	5792-5865,5995-6265,6506-6782,7361-7637,7739-7856,8298-8331,8473-8521,8690-8695
HLA-A	apr025.1	apr025#1	A	+	0	5492	8994	5792-5865,5995-6265,6506-6782,7360-7636,7738-7855,8297-8330,8472-8520,8689-8694
HLA-A	apr025.2	apr025#2	A	+	0	5494	9011	5794-5867,5997-6267,6508-6784,7384-7660,7759-7876,8314-8347,8489-8537,8706-8711
HLA-A	apr026.1	apr026#1	A	+	0	5487	8990	5787-5860,5990-6260,6501-6777,7356-7632,7734-7851,8293-8326,8468-8516,8685-8690
HLA-A	apr026.2	apr026#2	A	+	0	5493	9010	5793-5866,5996-6266,6507-6783,7383-7659,7758-7875,8313-8346,8488-8536,8705-8710
HLA-A	apr027.1	apr027#1	A	+	0	5501	9018	5801-5874,6004-6274,6515-6791,7391-7667,7766-7883,8321-8354,8496-8544,8713-8718
HLA-A	apr027.2	apr027#2	A	+	0	5493	9011	5793-5866,5995-6265,6506-6782,7382-7658,7757-7874,8314-8347,8489-8537,8706-8711
HLA-A	apr029.1	apr029#1	A	+	0	5493	9010	5793-5866,5996-6266,6507-6783,7383-7659,7758-7875,8313-8346,8488-8536,8705-8710
HLA-A	apr029.2	apr029#2	A	+	0	5493	9010	5793-5866,5996-6266,6507-6783,7383-7659,7758-7875,8313-8346,8488-8536,8705-8710
HLA-A	apr030.1	apr030#1	A	+	0	5488	8990	5788-5861,5991-6261,6502-6778,7357-7633,7735-7852,8294-8327,8469-8517,8685-8690
HLA-A	apr030.2	apr030#2	A	+	0	5502	9020	5802-5875,6004-6274,6515-6791,7391-7667,7766-7883,8323-8356,8498-8546,8715-8720
HLA-A	apr031.1	apr031#1	A	+	0	5487	8990	5787-5860,5990-6260,6501-6777,7356-7632,7734-7851,8293-8326,8468-8516,8685-8690
HLA-A	apr031.2	apr031#2	A	+	0	5488	8990	5788-5861,5991-6261,6502-6778,7357-7633,7735-7852,8294-8327,8469-8517,8685-8690
HLA-A	apr032.1	apr032#1	A	+	0	5500	9017	5800-5873,6003-6273,6514-6790,7390-7666,7765-7882,8320-8353,8495-8543,8712-8717
HLA-A	apr032.2	apr032#2	A	+	0	5492	8994	5792-5865,5995-6265,6506-6782,7360-7636,7738-7855,8297-8330,8472-8520,8689-8694
HLA-A	apr033.1	apr033#1	A	+	0	5487	8990	5787-5860,5990-6260,6501-6777,7356-7632,7734-7851,8293-8326,8468-8516,8685-8690
HLA-A	apr033.2	apr033#2	A	+	0	5489	8991	5789-5862,5992-6262,6503-6779,7358-7634,7736-7853,8295-8328,8470-8518,8686-8691
HLA-A	apr034.1	apr034#1	A	+	0	5500	9017	5800-5873,6003-6273,6514-6790,7390-7666,7765-7882,8320-8353,8495-8543,8712-8717
HLA-A	apr034.2	apr034#2	A	+	0	5494	9012	5794-5867,5996-6266,6507-6783,7383-7659,7758-7875,8315-8348,8490-8538,8707-8712
HLA-A	apr035.1	apr035#1	A	+	0	5492	8995	5792-5865,5995-6265,6506-6782,7361-7637,7739-7856,8298-8331,8473-8521,8690-8695
HLA-A	apr035.2	apr035#2	A	+	0	5487	8990	5787-5860,5990-6260,6501-6777,7356-7632,7734-7851,8293-8326,8468-8516,8685-8690
HLA-A	apr036.1	apr036#1	A	+	0	5496	8999	5796-5869,5999-6269,6510-6786,7365-7641,7743-7860,8302-8335,8477-8525,8694-8699
HLA-A	apr036.2	apr036#2	A	+	0	5494	9011	5794-5867,5997-6267,6508-6784,7384-7660,7759-7876,8314-8347,8489-8537,8706-8711
HLA-A	apr037.1	apr037#1	A	+	0	5508	9025	5808-5881,6011-6281,6522-6798,7398-7674,7773-7890,8328-8361,8503-8551,8720-8725
HLA-A	apr037.2	apr037#2	A	+	0	5494	9012	5794-5867,5996-6266,6507-6783,7383-7659,7758-7875,8315-8348,8490-8538,8707-8712
HLA-A	apr038.1	apr038#1	A	+	0	5487	8990	5787-5860,5990-6260,6501-6777,7356-7632,7734-7851,8293-8326,8468-8516,8685-8690
HLA-A	apr038.2	apr038#2	A	+	0	5493	9010	5793-5866,5996-6266,6507-6783,7383-7659,7758-7875,8313-8346,8488-8536,8705-8710
HLA-A	apr039.1	apr039#1	A	+	0	5494	9012	5794-5867,5996-6266,6507-6783,7383-7659,7758-7875,8315-8348,8490-8538,8707-8712
HLA-A	apr039.2	apr039#2	A	+	0	5493	9011	5793-5866,5995-6265,6506-6782,7382-7658,7757-7874,8314-8347,8489-8537,8706-8711
HLA-A	apr040.1	apr040#1	A	+	0	5501	9018	5801-5874,6004-6274,6515-6791,7391-7667,7766-7883,8321-8354,8496-8544,8713-8718
HLA-A	apr040.2	apr040#2	A	+	0	5492	8994	5792-5865,5995-6265,6506-6782,7360-7636,7738-7855,8297-8330,8472-8520,8689-8694
HLA-A	apr041.1	apr041#1	A	+	0	5496	8999	5796-5869,5999-6269,6510-6786,7365-7641,7743-7860,8302-8335,8477-8525,8694-8699
HLA-A	apr041.2	apr041#2	A	+	0	5501	9018	5801-5874,6004-6274,6515-6791,7391-7667,7766-7883,8321-8354,8496-8544,8713-8718
HLA-A	apr042.1	apr042#1	A	+	0	5488	8990	5788-5861,5991-6261,6502-6778,7357-7633,7735-7852,8294-8327,8469-8517,8685-8690
HLA-A	apr042.2	apr042#2	A	+	0	5508	9025	5808-5881,6011-6281,6522-6798,7398-7674,7773-7890,8328-8361,8503-8551,8720-8725
HLA-A	apr043.1	apr043#1	A	+	0	5599	8991	5788-5861,5991-6261,6502-6778,7357-7633,7735-7852,8294-8327,8469-8517,8686-8691
HLA-A	apr043.2	apr043#2	A	+	0	5492	8994	5792-5865,5995-6265,6506-6782,7360-7636,7738-7855,8297-8330,8472-8520,8689-8694
HLA-A	apr044.1	apr044#1	A	+	0	5492	8994	5792-5865,5995-6265,6506-6782,7360-7636,7738-7855,8297-8330,8472-8520,8689-8694
HLA-A	apr044.2	apr044#2	A	+	0	5492	8995	5792-5865,5995-6265,6506-6782,7361-7637,7739-7856,8298-8331,8473-8521,8690-8695
HLA-A	apr045.1	apr045#1	A	+	0	5508	9025	5808-5881,6011-6281,6522-6798,7398-7674,7773-7890,8328-8361,8503-8551,8720-8725
HLA-A	apr045.2	apr045#2	A	+	0	5487	8990	5787-5860,5990-6260,6501-6777,7356-7632,7734-7851,8293-8326,8468-8516,8685-8690
HLA-A	apr046.1	apr046#1	A	+	0	5488	8990	5788-5861,5991-6261,6502-6778,7357-7633,7735-7852,8294-8327,8469-8517,8685-8690
HLA-A	apr046.2	apr046#2	A	+	0	5496	8999	5796-5869,5999-6269,6510-6786,7365-7641,7743-7860,8302-8335,8477-8525,8694-8699
HLA-A	apr047.1	apr047#1	A	+	0	5493	9011	5793-5866,5995-6265,6506-6782,7382-7658,7757-7874,8314-8347,8489-8537,8706-8711
HLA-A	apr047.2	apr047#2	A	+	0	5494	9012	5794-5867,5996-6266,6507-6783,7383-7659,7758-7875,8315-8348,8490-8538,8707-8712
HLA-A	apr048.1	apr048#1	A	+	0	5492	8995	5792-5865,5995-6265,6506-6782,7361-7637,7739-7856,8298-8331,8473-8521,8690-8695
HLA-A	apr048.2	apr048#2	A	+	0	5492	8995	5792-5865,5995-6265,6506-6782,7361-7637,7739-7856,8298-8331,8473-8521,8690-8695
HLA-A	apr049.1	apr049#1	A	+	0	5500	9017	5800-5873,6003-6273,6514-6790,7390-7666,7765-7882,8320-8353,8495-8543,8712-8717
HLA-A	apr049.2	apr049#2	A	+	0	5492	9010	5792-5865,5994-6264,6505-6781,7381-7657,7756-7873,8313-8346,8488-8536,8705-8710
HLA-A	apr050.1	apr050#1	A	+	0	5492	8994	5792-5865,5995-6265,6506-6782,7360-7636,7738-7855,8297-8330,8472-8520,8689-8694
HLA-A	apr050.2	apr050#2	A	+	0	5493	9010	5793-5866,5996-6266,6507-6783,7383-7659,7758-7875,8313-8346,8488-8536,8705-8710
HLA-A	apr051.1	apr051#1	A	+	0	5507	9024	5807-5880,6010-6280,6521-6797,7397-7673,7772-7889,8327-8360,8502-8550,8719-8724
HLA-A	apr051.2	apr051#2	A	+	0	5500	9017	5800-5873,6003-6273,6514-6790,7390-7666,7765-7882,8320-8353,8495-8543,8712-8717
HLA-A	apr52.1	apr52#1	A	+	0	5493	9010	5793-5866,5996-6266,6507-6783,7383-7659,7758-7875,8313-8346,8488-8536,8705-8710
HLA-A	apr52.2	apr52#2	A	+	0	5488	8990	5788-5861,5991-6261,6502-6778,7357-7633,7735-7852,8294-8327,8469-8517,8685-8690
HLA-A	HIFI032007D.1	HIFI032007D#1	A	+	0	5501	9018	5801-5874,6004-6274,6515-6791,7391-7667,7766-7883,8321-8354,8496-8544,8713-8718
HLA-A	HIFI032007D.2	HIFI032007D#2	A	+	0	5500	9017	5800-5873,6003-6273,6514-6790,7390-7666,7765-7882,8320-8353,8495-8543,8712-8717
HLA-A	HIFI032018D.1	HIFI032018D#1	A	+	0	5488	8990	5788-5861,5991-6261,6502-6778,7357-7633,7735-7852,8294-8327,8469-8517,8685-8690
HLA-A	HIFI032018D.2	HIFI032018D#2	A	+	0	5492	8995	5792-5865,5995-6265,6506-6782,7361-7637,7739-7856,8298-8331,8473-8521,8690-8695
HLA-A	HIFI032069D.1	HIFI032069D#1	A	+	0	5492	8792	5792-5865,5995-6265,6506-6782,7361-7637,7739-7856,8298-8331,8473-8521,8690-8695
HLA-A	HIFI032069D.2	HIFI032069D#2	A	+	0	5501	9018	5801-5874,6004-6274,6515-6791,7391-7667,7766-7883,8321-8354,8496-8544,8713-8718
HLA-A	HIFI032097D.1	HIFI032097D#1	A	+	0	5493	9011	5793-5866,5995-6265,6506-6782,7382-7658,7757-7874,8314-8347,8489-8537,8706-8711
HLA-A	HIFI032097D.2	HIFI032097D#2	A	+	0	5685	9023	5806-5879,6009-6279,6520-6796,7396-7672,7771-7888,8326-8359,8501-8549,8718-8723
HLA-A	HIFI032103D.1	HIFI032103D#1	A	+	0	5506	9023	5806-5879,6009-6279,6520-6796,7396-7672,7771-7888,8326-8359,8501-8549,8718-8723
HLA-A	HIFI032103D.2	HIFI032103D#2	A	+	0	5502	9020	5802-5875,6004-6274,6515-6791,7391-7667,7766-7883,8323-8356,8498-8546,8715-8720
HLA-A	HIFI032161D.1	HIFI032161D#1	A	+	0	5492	8995	5792-5865,5995-6265,6506-6782,7361-7637,7739-7856,8298-8331,8473-8521,8690-8695
HLA-A	HIFI032161D.2	HIFI032161D#2	A	+	0	5492	8995	5792-5865,5995-6265,6506-6782,7361-7637,7739-7856,8298-8331,8473-8521,8690-8695
HLA-A	HIFI032164D.1	HIFI032164D#1	A	+	0	5492	8995	5792-5865,5995-6265,6506-6782,7361-7637,7739-7856,8298-8331,8473-8521,8690-8695
HLA-A	HIFI032164D.2	HIFI032164D#2	A	+	0	5505	9022	5805-5878,6008-6278,6519-6795,7395-7671,7770-7887,8325-8358,8500-8548,8717-8722
HLA-A	HIFI032167D.1	HIFI032167D#1	A	+	0	5492	8995	5792-5865,5995-6265,6506-6782,7361-7637,7739-7856,8298-8331,8473-8521,8690-8695
HLA-A	HIFI032167D.2	HIFI032167D#2	A	+	0	5501	9018	5801-5874,6004-6274,6515-6791,7391-7667,7766-7883,8321-8354,8496-8544,8713-8718
HLA-A	HIFI032182D.1	HIFI032182D#1	A	+	0	5491	8994	5791-5864,5994-6264,6505-6781,7360-7636,7738-7855,8297-8330,8472-8520,8689-8694
HLA-A	HIFI032182D.2	HIFI032182D#2	A	+	0	5500	9017	5800-5873,6003-6273,6514-6790,7390-7666,7765-7882,8320-8353,8495-8543,8712-8717
HLA-A	HIFI032289D.1	HIFI032289D#1	A	+	0	5501	9018	5801-5874,6004-6274,6515-6791,7391-7667,7766-7883,8321-8354,8496-8544,8713-8718
HLA-A	HIFI032289D.2	HIFI032289D#2	A	+	0	5500	9017	5800-5873,6003-6273,6514-6790,7390-7666,7765-7882,8320-8353,8495-8543,8712-8717
HLA-A	HIFI032292D.1	HIFI032292D#1	A	+	0	5488	8990	5788-5861,5991-6261,6502-6778,7357-7633,7735-7852,8294-8327,8469-8517,8685-8690
HLA-A	HIFI032292D.2	HIFI032292D#2	A	+	0	5492	8995	5792-5865,5995-6265,6506-6782,7361-7637,7739-7856,8298-8331,8473-8521,8690-8695
HLA-A	HIFI032302D.1	HIFI032302D#1	A	+	0	5492	9010	5792-5865,5994-6264,6505-6781,7381-7657,7756-7873,8313-8346,8488-8536,8705-8710
HLA-A	HIFI032302D.2	HIFI032302D#2	A	+	0	5784	8713	5790-5863,5993-6263,6504-6780,7358-7634,7736-7853,8291-8324,8466-8514,8683-8688
HLA-A	HIFI032306D.1	HIFI032306D#1	A	+	0	5687	9025	5808-5881,6011-6281,6522-6798,7398-7674,7773-7890,8328-8361,8503-8551,8720-8725
HLA-A	HIFI032306D.2	HIFI032306D#2	A	+	0	5508	9025	5808-5881,6011-6281,6522-6798,7398-7674,7773-7890,8328-8361,8503-8551,8720-8725
HLA-A	HIFI032335D.1	HIFI032335D#1	A	+	0	5488	8990	5788-5861,5991-6261,6502-6778,7357-7633,7735-7852,8294-8327,8469-8517,8685-8690
HLA-A	HIFI032349D.1	HIFI032349D#1	A	+	0	5492	8994	5792-5865,5995-6265,6506-6782,7360-7636,7738-7855,8297-8330,8472-8520,8689-8694
HLA-A	HIFI032349D.2	HIFI032349D#2	A	+	0	5501	9018	5801-5874,6004-6274,6515-6791,7391-7667,7766-7883,8321-8354,8496-8544,8713-8718
HLA-A	HIFI032373D.1	HIFI032373D#1	A	+	0	5501	9018	5801-5874,6004-6274,6515-6791,7391-7667,7766-7883,8321-8354,8496-8544,8713-8718
HLA-A	HIFI032373D.2	HIFI032373D#2	A	+	0	5488	8990	5788-5861,5991-6261,6502-6778,7357-7633,7735-7852,8294-8327,8469-8517,8685-8690
HLA-A	HIFI032420D.1	HIFI032420D#1	A	+	0	5488	8990	5788-5861,5991-6261,6502-6778,7357-7633,7735-7852,8294-8327,8469-8517,8685-8690
HLA-A	HIFI032420D.2	HIFI032420D#2	A	+	0	5492	8995	5792-5865,5995-6265,6506-6782,7361-7637,7739-7856,8298-8331,8473-8521,8690-8695
HLA-A	HIFI032422D.1	HIFI032422D#1	A	+	0	5491	6788	5787-5860,5990-6260,6501-6777
HLA-A	HIFI032422D.2	HIFI032422D#2	A	+	0	5492	8995	5792-5865,5995-6265,6506-6782,7361-7637,7739-7856,8298-8331,8473-8521,8690-8695
HLA-A	HIFI032429D.1	HIFI032429D#1	A	+	0	5492	8792	5792-5865,5995-6265,6506-6782,7361-7637,7739-7856,8298-8331,8473-8521,8690-8695
HLA-A	HIFI032429D.2	HIFI032429D#2	A	+	0	5492	8995	5792-5865,5995-6265,6506-6782,7361-7637,7739-7856,8298-8331,8473-8521,8690-8695
HLA-A	HIFI032440D.1	HIFI032440D#1	A	+	0	5492	8995	5792-5865,5995-6265,6506-6782,7361-7637,7739-7856,8298-8331,8473-8521,8690-8695
HLA-A	HIFI032440D.2	HIFI032440D#2	A	+	0	5491	6788	5787-5860,5990-6260,6501-6777
HLA-A	HIFI032450D.1	HIFI032450D#1	A	+	0	5492	8995	5792-5865,5995-6265,6506-6782,7361-7637,7739-7856,8298-8331,8473-8521,8690-8695
HLA-A	HIFI032450D.2	HIFI032450D#2	A	+	0	5500	9017	5800-5873,6003-6273,6514-6790,7390-7666,7765-7882,8320-8353,8495-8543,8712-8717
HLA-A	HIFI032453D.1	HIFI032453D#1	A	+	0	5501	9018	5801-5874,6004-6274,6515-6791,7391-7667,7766-7883,8321-8354,8496-8544,8713-8718
HLA-A	HIFI032453D.2	HIFI032453D#2	A	+	0	5488	6789	5788-5861,5991-6261,6502-6778
HLA-A	HIFI032454D.1	HIFI032454D#1	A	+	0	5489	8991	5789-5862,5992-6262,6503-6779,7358-7634,7736-7853,8295-8328,8470-8518,8686-8691
HLA-A	HIFI032454D.2	HIFI032454D#2	A	+	0	5488	8990	5788-5861,5991-6261,6502-6778,7357-7633,7735-7852,8294-8327,8469-8517,8685-8690
HLA-A	HIFI032462D.1	HIFI032462D#1	A	+	0	5506	9023	5806-5879,6009-6279,6520-6796,7396-7672,7771-7888,8326-8359,8501-8549,8718-8723
HLA-A	HIFI032462D.2	HIFI032462D#2	A	+	0	5488	8990	5788-5861,5991-6261,6502-6778,7357-7633,7735-7852,8294-8327,8469-8517,8685-8690
HLA-A	HIFI032473D.1	HIFI032473D#1	A	+	0	5500	9017	5800-5873,6003-6273,6514-6790,7390-7666,7765-7882,8320-8353,8495-8543,8712-8717
HLA-A	HIFI032473D.2	HIFI032473D#2	A	+	0	5492	8995	5792-5865,5995-6265,6506-6782,7361-7637,7739-7856,8298-8331,8473-8521,8690-8695
HLA-A	HIFI032487D.1	HIFI032487D#1	A	+	0	5682	8768	5789-5862,5991-6261,6502-6778,7378-7654,7753-7870,8308-8341,8483-8531,8700-8705
HLA-A	HIFI032487D.2	HIFI032487D#2	A	+	0	5501	9018	5801-5874,6004-6274,6515-6791,7391-7667,7766-7883,8321-8354,8496-8544,8713-8718
HLA-A	HIFI032501D.1	HIFI032501D#1	A	+	0	5500	9017	5800-5873,6003-6273,6514-6790,7390-7666,7765-7882,8320-8353,8495-8543,8712-8717
HLA-A	HIFI032501D.2	HIFI032501D#2	A	+	0	5494	9012	5794-5867,5996-6266,6507-6783,7383-7659,7758-7875,8315-8348,8490-8538,8707-8712
HLA-A	HIFI032510D.1	HIFI032510D#1	A	+	0	5500	9017	5800-5873,6003-6273,6514-6790,7390-7666,7765-7882,8320-8353,8495-8543,8712-8717
HLA-A	HIFI032510D.2	HIFI032510D#2	A	+	0	5500	9017	5800-5873,6003-6273,6514-6790,7390-7666,7765-7882,8320-8353,8495-8543,8712-8717
HLA-A	HIFI032513D.1	HIFI032513D#1	A	+	0	5501	9018	5801-5874,6004-6274,6515-6791,7391-7667,7766-7883,8321-8354,8496-8544,8713-8718
HLA-A	HIFI032513D.2	HIFI032513D#2	A	+	0	5492	8995	5792-5865,5995-6265,6506-6782,7361-7637,7739-7856,8298-8331,8473-8521,8690-8695
HLA-A	HIFI032529D.1	HIFI032529D#1	A	+	0	5492	8995	5792-5865,5995-6265,6506-6782,7361-7637,7739-7856,8298-8331,8473-8521,8690-8695
HLA-A	HIFI032529D.2	HIFI032529D#2	A	+	0	5492	8792	5792-5865,5995-6265,6506-6782,7361-7637,7739-7856,8298-8331,8473-8521,8690-8695
HLA-A	HIFI032566D.1	HIFI032566D#1	A	+	0	5501	9018	5801-5874,6004-6274,6515-6791,7391-7667,7766-7883,8321-8354,8496-8544,8713-8718
HLA-A	HIFI032566D.2	HIFI032566D#2	A	+	0	5687	8753	5788-5861,5991-6261,6502-6778,7357-7633,7735-7852,8294-8327,8469-8517,8685-8690
HLA-A	HIFI032567D.1	HIFI032567D#1	A	+	0	5501	9018	5801-5874,6004-6274,6515-6791,7391-7667,7766-7883,8321-8354,8496-8544,8713-8718
HLA-A	HIFI032567D.2	HIFI032567D#2	A	+	0	5494	9012	5794-5867,5996-6266,6507-6783,7383-7659,7758-7875,8315-8348,8490-8538,8707-8712
HLA-A	HIFI032585D.1	HIFI032585D#1	A	+	0	5501	9018	5801-5874,6004-6274,6515-6791,7391-7667,7766-7883,8321-8354,8496-8544,8713-8718
HLA-A	HIFI032585D.2	HIFI032585D#2	A	+	0	5492	8995	5792-5865,5995-6265,6506-6782,7361-7637,7739-7856,8298-8331,8473-8521,8690-8695
HLA-A	HIFI032586D.1	HIFI032586D#1	A	+	0	5492	8995	5792-5865,5995-6265,6506-6782,7361-7637,7739-7856,8298-8331,8473-8521,8690-8695
HLA-A	HIFI032586D.2	HIFI032586D#2	A	+	0	5492	8995	5792-5865,5995-6265,6506-6782,7361-7637,7739-7856,8298-8331,8473-8521,8690-8695
