donor	method	state	gene	fields	eligible	called	correct	allele_matches	stratum	family
HG00658	hprc/unsampled	complete	B	4	1	1	1	2	EAS	HG00656
HG00658	hprc/unsampled	complete	C	4	1	1	1	2	EAS	HG00656
HG00658	hprc/unsampled	complete	DPA1	4	0	0	0	0	EAS	HG00656
HG00658	hprc/unsampled	complete	DPB1	4	0	0	0	0	EAS	HG00656
HG00658	hprc/unsampled	complete	DQA1	4	1	1	1	2	EAS	HG00656
HG00658	hprc/unsampled	complete	DQB1	4	1	1	1	2	EAS	HG00656
HG00658	hprc/unsampled	complete	DRB1	4	0	0	0	0	EAS	HG00656
HG00658	hprc_asian/sampled	complete	A	2	1	1	1	2	EAS	HG00656
HG00658	hprc_asian/sampled	complete	B	2	1	1	1	2	EAS	HG00656
HG00658	hprc_asian/sampled	complete	C	2	1	1	1	2	EAS	HG00656
HG00658	hprc_asian/sampled	complete	DPA1	2	1	1	1	2	EAS	HG00656
HG00658	hprc_asian/sampled	complete	DPB1	2	1	1	1	2	EAS	HG00656
HG00658	hprc_asian/sampled	complete	DQA1	2	1	1	1	2	EAS	HG00656
HG00658	hprc_asian/sampled	complete	DQB1	2	1	1	1	2	EAS	HG00656
HG00658	hprc_asian/sampled	complete	DRB1	2	1	1	1	2	EAS	HG00656
HG00658	hprc_asian/sampled	complete	A	4	1	1	1	2	EAS	HG00656
HG00658	hprc_asian/sampled	complete	B	4	1	1	1	2	EAS	HG00656
HG00658	hprc_asian/sampled	complete	C	4	1	1	1	2	EAS	HG00656
HG00658	hprc_asian/sampled	complete	DPA1	4	0	0	0	0	EAS	HG00656
HG00658	hprc_asian/sampled	complete	DPB1	4	0	0	0	0	EAS	HG00656
HG00658	hprc_asian/sampled	complete	DQA1	4	1	1	1	2	EAS	HG00656
HG00658	hprc_asian/sampled	complete	DQB1	4	1	1	1	2	EAS	HG00656
HG00658	hprc_asian/sampled	complete	DRB1	4	0	0	0	0	EAS	HG00656
HG00658	hprc_asian/unsampled	complete	A	2	1	1	1	2	EAS	HG00656
HG00658	hprc_asian/unsampled	complete	B	2	1	1	1	2	EAS	HG00656
HG00658	hprc_asian/unsampled	complete	C	2	1	1	1	2	EAS	HG00656
HG00658	hprc_asian/unsampled	complete	DPA1	2	1	1	1	2	EAS	HG00656
HG00658	hprc_asian/unsampled	complete	DPB1	2	1	1	1	2	EAS	HG00656
HG00658	hprc_asian/unsampled	complete	DQA1	2	1	1	1	2	EAS	HG00656
HG00658	hprc_asian/unsampled	complete	DQB1	2	1	1	1	2	EAS	HG00656
HG00658	hprc_asian/unsampled	complete	DRB1	2	1	1	1	2	EAS	HG00656
HG00658	hprc_asian/unsampled	complete	A	4	1	1	1	2	EAS	HG00656
HG00658	hprc_asian/unsampled	complete	B	4	1	1	1	2	EAS	HG00656
HG00658	hprc_asian/unsampled	complete	C	4	1	1	1	2	EAS	HG00656
HG00658	hprc_asian/unsampled	complete	DPA1	4	0	0	0	0	EAS	HG00656
HG00658	hprc_asian/unsampled	complete	DPB1	4	0	0	0	0	EAS	HG00656
HG00658	hprc_asian/unsampled	complete	DQA1	4	1	1	1	2	EAS	HG00656
HG00658	hprc_asian/unsampled	complete	DQB1	4	1	1	1	2	EAS	HG00656
HG00658	hprc_asian/unsampled	complete	DRB1	4	0	0	0	0	EAS	HG00656
HG02132	T1K	complete	A	2	1	1	1	2	EAS	HG02132
HG02132	T1K	complete	B	2	1	1	1	2	EAS	HG02132
HG02132	T1K	complete	C	2	1	1	1	2	EAS	HG02132
HG02132	T1K	complete	DPA1	2	1	1	1	2	EAS	HG02132
HG02132	T1K	complete	DPB1	2	1	1	1	2	EAS	HG02132
HG02132	T1K	complete	DQA1	2	1	1	1	2	EAS	HG02132
HG02132	T1K	complete	DQB1	2	1	1	1	2	EAS	HG02132
HG02132	T1K	complete	DRB1	2	1	1	1	2	EAS	HG02132
HG02132	T1K	complete	A	4	1	1	1	2	EAS	HG02132
HG02132	T1K	complete	B	4	1	1	0	1	EAS	HG02132
HG02132	T1K	complete	C	4	1	1	0	1	EAS	HG02132
HG02132	T1K	complete	DPA1	4	0	0	0	0	EAS	HG02132
HG02132	T1K	complete	DPB1	4	1	1	0	0	EAS	HG02132
HG02132	T1K	complete	DQA1	4	1	1	0	1	EAS	HG02132
HG02132	T1K	complete	DQB1	4	1	1	0	0	EAS	HG02132
HG02132	T1K	complete	DRB1	4	0	0	0	0	EAS	HG02132
HG02132	ipd_genome	complete	A	2	1	1	1	2	EAS	HG02132
HG02132	ipd_genome	complete	B	2	1	1	1	2	EAS	HG02132
HG02132	ipd_genome	complete	C	2	1	1	1	2	EAS	HG02132
HG02132	ipd_genome	complete	DPA1	2	1	1	1	2	EAS	HG02132
HG02132	ipd_genome	complete	DPB1	2	1	1	1	2	EAS	HG02132
HG02132	ipd_genome	complete	DQA1	2	1	1	1	2	EAS	HG02132
HG02132	ipd_genome	complete	DQB1	2	1	1	1	2	EAS	HG02132
HG02132	ipd_genome	complete	DRB1	2	1	1	1	2	EAS	HG02132
HG02132	ipd_genome	complete	A	4	1	1	1	2	EAS	HG02132
HG02132	ipd_genome	complete	B	4	1	1	0	1	EAS	HG02132
HG02132	ipd_genome	complete	C	4	1	1	1	2	EAS	HG02132
HG02132	ipd_genome	complete	DPA1	4	0	0	0	0	EAS	HG02132
HG02132	ipd_genome	complete	DPB1	4	1	1	1	2	EAS	HG02132
HG02132	ipd_genome	complete	DQA1	4	1	1	1	2	EAS	HG02132
HG02132	ipd_genome	complete	DQB1	4	1	1	1	2	EAS	HG02132
HG02132	ipd_genome	complete	DRB1	4	0	0	0	0	EAS	HG02132
HG02132	all	complete	A	2	1	1	1	2	EAS	HG02132
HG02132	all	complete	B	2	1	1	0	1	EAS	HG02132
HG02132	all	complete	C	2	1	1	1	2	EAS	HG02132
HG02132	all	complete	DPA1	2	1	1	1	2	EAS	HG02132
HG02132	all	complete	DPB1	2	1	1	1	2	EAS	HG02132
HG02132	all	complete	DQA1	2	1	1	1	2	EAS	HG02132
HG02132	all	complete	DQB1	2	1	1	1	2	EAS	HG02132
HG02132	all	complete	DRB1	2	1	1	1	2	EAS	HG02132
HG02132	all	complete	A	4	1	1	1	2	EAS	HG02132
HG02132	all	complete	B	4	1	0	0	1	EAS	HG02132
HG02132	all	complete	C	4	1	1	1	2	EAS	HG02132
HG02132	all	complete	DPA1	4	0	0	0	0	EAS	HG02132
HG02132	all	complete	DPB1	4	1	1	1	2	EAS	HG02132
HG02132	all	complete	DQA1	4	1	1	1	2	EAS	HG02132
HG02132	all	complete	DQB1	4	1	1	1	2	EAS	HG02132
HG02132	all	complete	DRB1	4	0	0	0	0	EAS	HG02132
HG02132	hprc/sampled	complete	A	2	1	1	1	2	EAS	HG02132
HG02132	hprc/sampled	complete	B	2	1	1	0	1	EAS	HG02132
HG02132	hprc/sampled	complete	C	2	1	1	1	2	EAS	HG02132
HG02132	hprc/sampled	complete	DPA1	2	1	1	1	2	EAS	HG02132
HG02132	hprc/sampled	complete	DPB1	2	1	1	1	2	EAS	HG02132
HG02132	hprc/sampled	complete	DQA1	2	1	1	1	2	EAS	HG02132
HG02132	hprc/sampled	complete	DQB1	2	1	1	1	2	EAS	HG02132
HG02132	hprc/sampled	complete	DRB1	2	1	1	1	2	EAS	HG02132
HG02132	hprc/sampled	complete	A	4	1	1	1	2	EAS	HG02132
HG02132	hprc/sampled	complete	B	4	1	0	0	1	EAS	HG02132
HG02132	hprc/sampled	complete	C	4	1	1	1	2	EAS	HG02132
HG02132	hprc/sampled	complete	DPA1	4	0	0	0	0	EAS	HG02132
HG02132	hprc/sampled	complete	DPB1	4	1	1	1	2	EAS	HG02132
HG02132	hprc/sampled	complete	DQA1	4	1	1	1	2	EAS	HG02132
HG02132	hprc/sampled	complete	DQB1	4	1	1	1	2	EAS	HG02132
HG02132	hprc/sampled	complete	DRB1	4	0	0	0	0	EAS	HG02132
HG02132	hprc/unsampled	complete	A	2	1	1	1	2	EAS	HG02132
HG02132	hprc/unsampled	complete	B	2	1	1	0	1	EAS	HG02132
HG02132	hprc/unsampled	complete	C	2	1	1	1	2	EAS	HG02132
HG02132	hprc/unsampled	complete	DPA1	2	1	1	1	2	EAS	HG02132
HG02132	hprc/unsampled	complete	DPB1	2	1	1	1	2	EAS	HG02132
HG02132	hprc/unsampled	complete	DQA1	2	1	1	1	2	EAS	HG02132
HG02132	hprc/unsampled	complete	DQB1	2	1	1	1	2	EAS	HG02132
HG02132	hprc/unsampled	complete	DRB1	2	1	1	1	2	EAS	HG02132
HG02132	hprc/unsampled	complete	A	4	1	1	1	2	EAS	HG02132
HG02132	hprc/unsampled	complete	B	4	1	0	0	1	EAS	HG02132
HG02132	hprc/unsampled	complete	C	4	1	1	1	2	EAS	HG02132
HG02132	hprc/unsampled	complete	DPA1	4	0	0	0	0	EAS	HG02132
HG02132	hprc/unsampled	complete	DPB1	4	1	1	1	2	EAS	HG02132
HG02132	hprc/unsampled	complete	DQA1	4	1	1	1	2	EAS	HG02132
HG02132	hprc/unsampled	complete	DQB1	4	1	1	1	2	EAS	HG02132
HG02132	hprc/unsampled	complete	DRB1	4	0	0	0	0	EAS	HG02132
HG02132	hprc_asian/sampled	complete	A	2	1	1	1	2	EAS	HG02132
HG02132	hprc_asian/sampled	complete	B	2	1	1	0	1	EAS	HG02132
HG02132	hprc_asian/sampled	complete	C	2	1	1	1	2	EAS	HG02132
HG02132	hprc_asian/sampled	complete	DPA1	2	1	1	1	2	EAS	HG02132
HG02132	hprc_asian/sampled	complete	DPB1	2	1	1	1	2	EAS	HG02132
HG02132	hprc_asian/sampled	complete	DQA1	2	1	1	1	2	EAS	HG02132
HG02132	hprc_asian/sampled	complete	DQB1	2	1	1	1	2	EAS	HG02132
HG02132	hprc_asian/sampled	complete	DRB1	2	1	1	1	2	EAS	HG02132
HG02132	hprc_asian/sampled	complete	A	4	1	1	1	2	EAS	HG02132
HG02132	hprc_asian/sampled	complete	B	4	1	0	0	1	EAS	HG02132
HG02132	hprc_asian/sampled	complete	C	4	1	1	1	2	EAS	HG02132
HG02132	hprc_asian/sampled	complete	DPA1	4	0	0	0	0	EAS	HG02132
HG02132	hprc_asian/sampled	complete	DPB1	4	1	1	1	2	EAS	HG02132
HG02132	hprc_asian/sampled	complete	DQA1	4	1	1	1	2	EAS	HG02132
HG02132	hprc_asian/sampled	complete	DQB1	4	1	1	1	2	EAS	HG02132
HG02132	hprc_asian/sampled	complete	DRB1	4	0	0	0	0	EAS	HG02132
HG02132	hprc_asian/unsampled	complete	A	2	1	1	1	2	EAS	HG02132
HG02132	hprc_asian/unsampled	complete	B	2	1	1	0	1	EAS	HG02132
HG02132	hprc_asian/unsampled	complete	C	2	1	1	1	2	EAS	HG02132
HG02132	hprc_asian/unsampled	complete	DPA1	2	1	1	1	2	EAS	HG02132
HG02132	hprc_asian/unsampled	complete	DPB1	2	1	1	1	2	EAS	HG02132
HG02132	hprc_asian/unsampled	complete	DQA1	2	1	1	1	2	EAS	HG02132
HG02132	hprc_asian/unsampled	complete	DQB1	2	1	1	1	2	EAS	HG02132
HG02132	hprc_asian/unsampled	complete	DRB1	2	1	1	1	2	EAS	HG02132
HG02132	hprc_asian/unsampled	complete	A	4	1	1	1	2	EAS	HG02132
HG02132	hprc_asian/unsampled	complete	B	4	1	0	0	1	EAS	HG02132
HG02132	hprc_asian/unsampled	complete	C	4	1	1	1	2	EAS	HG02132
HG02132	hprc_asian/unsampled	complete	DPA1	4	0	0	0	0	EAS	HG02132
HG02132	hprc_asian/unsampled	complete	DPB1	4	1	1	1	2	EAS	HG02132
HG02132	hprc_asian/unsampled	complete	DQA1	4	1	1	1	2	EAS	HG02132
HG02132	hprc_asian/unsampled	complete	DQB1	4	1	1	1	2	EAS	HG02132
HG02132	hprc_asian/unsampled	complete	DRB1	4	0	0	0	0	EAS	HG02132
HG03831	T1K	complete	A	2	1	1	1	2	SAS	HG03829
HG03831	T1K	complete	B	2	1	1	1	2	SAS	HG03829
HG03831	T1K	complete	C	2	1	1	1	2	SAS	HG03829
HG03831	T1K	complete	DPA1	2	1	1	1	2	SAS	HG03829
HG03831	T1K	complete	DPB1	2	1	1	1	2	SAS	HG03829
HG03831	T1K	complete	DQA1	2	1	1	1	2	SAS	HG03829
HG03831	T1K	complete	DQB1	2	1	1	1	2	SAS	HG03829
HG03831	T1K	complete	DRB1	2	1	1	1	2	SAS	HG03829
HG03831	T1K	complete	A	4	1	1	1	2	SAS	HG03829
HG03831	T1K	complete	B	4	1	1	0	1	SAS	HG03829
HG03831	T1K	complete	C	4	1	1	0	1	SAS	HG03829
HG03831	T1K	complete	DPA1	4	0	0	0	0	SAS	HG03829
HG03831	T1K	complete	DPB1	4	1	1	0	1	SAS	HG03829
HG03831	T1K	complete	DQA1	4	1	1	0	1	SAS	HG03829
HG03831	T1K	complete	DQB1	4	1	1	1	2	SAS	HG03829
HG03831	T1K	complete	DRB1	4	0	0	0	0	SAS	HG03829
HG03831	ipd_genome	complete	A	2	1	1	1	2	SAS	HG03829
HG03831	ipd_genome	complete	B	2	1	1	1	2	SAS	HG03829
HG03831	ipd_genome	complete	C	2	1	1	1	2	SAS	HG03829
HG03831	ipd_genome	complete	DPA1	2	1	1	1	2	SAS	HG03829
HG03831	ipd_genome	complete	DPB1	2	1	1	1	2	SAS	HG03829
HG03831	ipd_genome	complete	DQA1	2	1	1	1	2	SAS	HG03829
HG03831	ipd_genome	complete	DQB1	2	1	1	1	2	SAS	HG03829
HG03831	ipd_genome	complete	DRB1	2	1	1	0	1	SAS	HG03829
HG03831	ipd_genome	complete	A	4	1	1	1	2	SAS	HG03829
HG03831	ipd_genome	complete	B	4	1	1	1	2	SAS	HG03829
HG03831	ipd_genome	complete	C	4	1	1	1	2	SAS	HG03829
HG03831	ipd_genome	complete	DPA1	4	0	0	0	0	SAS	HG03829
HG03831	ipd_genome	complete	DPB1	4	1	1	1	2	SAS	HG03829
HG03831	ipd_genome	complete	DQA1	4	1	1	1	2	SAS	HG03829
HG03831	ipd_genome	complete	DQB1	4	1	1	1	2	SAS	HG03829
HG03831	ipd_genome	complete	DRB1	4	0	0	0	0	SAS	HG03829
HG03831	all	complete	A	2	1	1	1	2	SAS	HG03829
HG03831	all	complete	B	2	1	1	1	2	SAS	HG03829
HG03831	all	complete	C	2	1	1	1	2	SAS	HG03829
HG03831	all	complete	DPA1	2	1	1	1	2	SAS	HG03829
HG03831	all	complete	DPB1	2	1	1	1	2	SAS	HG03829
HG03831	all	complete	DQA1	2	1	1	1	2	SAS	HG03829
HG03831	all	complete	DQB1	2	1	1	1	2	SAS	HG03829
HG03831	all	complete	DRB1	2	1	1	0	1	SAS	HG03829
HG03831	all	complete	A	4	1	1	1	2	SAS	HG03829
HG03831	all	complete	B	4	1	1	1	2	SAS	HG03829
HG03831	all	complete	C	4	1	1	1	2	SAS	HG03829
HG03831	all	complete	DPA1	4	0	0	0	0	SAS	HG03829
HG03831	all	complete	DPB1	4	1	1	1	2	SAS	HG03829
HG03831	all	complete	DQA1	4	1	1	1	2	SAS	HG03829
HG03831	all	complete	DQB1	4	1	1	1	2	SAS	HG03829
HG03831	all	complete	DRB1	4	0	0	0	0	SAS	HG03829
HG03831	hprc/sampled	complete	A	2	1	1	1	2	SAS	HG03829
HG03831	hprc/sampled	complete	B	2	1	1	1	2	SAS	HG03829
HG03831	hprc/sampled	complete	C	2	1	1	1	2	SAS	HG03829
HG03831	hprc/sampled	complete	DPA1	2	1	1	1	2	SAS	HG03829
HG03831	hprc/sampled	complete	DPB1	2	1	1	1	2	SAS	HG03829
HG03831	hprc/sampled	complete	DQA1	2	1	1	1	2	SAS	HG03829
HG03831	hprc/sampled	complete	DQB1	2	1	1	1	2	SAS	HG03829
HG03831	hprc/sampled	complete	DRB1	2	1	1	0	1	SAS	HG03829
HG03831	hprc/sampled	complete	A	4	1	1	1	2	SAS	HG03829
HG03831	hprc/sampled	complete	B	4	1	1	1	2	SAS	HG03829
HG03831	hprc/sampled	complete	C	4	1	1	1	2	SAS	HG03829
HG03831	hprc/sampled	complete	DPA1	4	0	0	0	0	SAS	HG03829
HG03831	hprc/sampled	complete	DPB1	4	1	1	1	2	SAS	HG03829
HG03831	hprc/sampled	complete	DQA1	4	1	1	1	2	SAS	HG03829
HG03831	hprc/sampled	complete	DQB1	4	1	1	1	2	SAS	HG03829
HG03831	hprc/sampled	complete	DRB1	4	0	0	0	0	SAS	HG03829
HG03831	hprc/unsampled	complete	A	2	1	1	1	2	SAS	HG03829
HG03831	hprc/unsampled	complete	B	2	1	1	1	2	SAS	HG03829
HG03831	hprc/unsampled	complete	C	2	1	1	1	2	SAS	HG03829
HG03831	hprc/unsampled	complete	DPA1	2	1	1	1	2	SAS	HG03829
HG03831	hprc/unsampled	complete	DPB1	2	1	1	1	2	SAS	HG03829
HG03831	hprc/unsampled	complete	DQA1	2	1	1	1	2	SAS	HG03829
HG03831	hprc/unsampled	complete	DQB1	2	1	1	1	2	SAS	HG03829
HG03831	hprc/unsampled	complete	DRB1	2	1	1	0	1	SAS	HG03829
HG03831	hprc/unsampled	complete	A	4	1	1	1	2	SAS	HG03829
HG03831	hprc/unsampled	complete	B	4	1	1	1	2	SAS	HG03829
HG03831	hprc/unsampled	complete	C	4	1	1	1	2	SAS	HG03829
HG03831	hprc/unsampled	complete	DPA1	4	0	0	0	0	SAS	HG03829
HG03831	hprc/unsampled	complete	DPB1	4	1	1	1	2	SAS	HG03829
HG03831	hprc/unsampled	complete	DQA1	4	1	1	1	2	SAS	HG03829
HG03831	hprc/unsampled	complete	DQB1	4	1	1	1	2	SAS	HG03829
HG03831	hprc/unsampled	complete	DRB1	4	0	0	0	0	SAS	HG03829
HG03831	hprc_asian/sampled	complete	A	2	1	1	1	2	SAS	HG03829
HG03831	hprc_asian/sampled	complete	B	2	1	1	1	2	SAS	HG03829
HG03831	hprc_asian/sampled	complete	C	2	1	1	1	2	SAS	HG03829
HG03831	hprc_asian/sampled	complete	DPA1	2	1	1	1	2	SAS	HG03829
HG03831	hprc_asian/sampled	complete	DPB1	2	1	1	1	2	SAS	HG03829
HG03831	hprc_asian/sampled	complete	DQA1	2	1	1	1	2	SAS	HG03829
HG03831	hprc_asian/sampled	complete	DQB1	2	1	1	1	2	SAS	HG03829
HG03831	hprc_asian/sampled	complete	DRB1	2	1	1	0	1	SAS	HG03829
HG03831	hprc_asian/sampled	complete	A	4	1	1	1	2	SAS	HG03829
HG03831	hprc_asian/sampled	complete	B	4	1	1	1	2	SAS	HG03829
HG03831	hprc_asian/sampled	complete	C	4	1	1	1	2	SAS	HG03829
HG03831	hprc_asian/sampled	complete	DPA1	4	0	0	0	0	SAS	HG03829
HG03831	hprc_asian/sampled	complete	DPB1	4	1	1	1	2	SAS	HG03829
HG03831	hprc_asian/sampled	complete	DQA1	4	1	1	1	2	SAS	HG03829
HG03831	hprc_asian/sampled	complete	DQB1	4	1	1	1	2	SAS	HG03829
HG03831	hprc_asian/sampled	complete	DRB1	4	0	0	0	0	SAS	HG03829
HG03831	hprc_asian/unsampled	complete	A	2	1	1	1	2	SAS	HG03829
HG03831	hprc_asian/unsampled	complete	B	2	1	1	1	2	SAS	HG03829
HG03831	hprc_asian/unsampled	complete	C	2	1	1	1	2	SAS	HG03829
HG03831	hprc_asian/unsampled	complete	DPA1	2	1	1	1	2	SAS	HG03829
HG03831	hprc_asian/unsampled	complete	DPB1	2	1	1	1	2	SAS	HG03829
HG03831	hprc_asian/unsampled	complete	DQA1	2	1	1	1	2	SAS	HG03829
HG03831	hprc_asian/unsampled	complete	DQB1	2	1	1	1	2	SAS	HG03829
HG03831	hprc_asian/unsampled	complete	DRB1	2	1	1	0	1	SAS	HG03829
HG03831	hprc_asian/unsampled	complete	A	4	1	1	1	2	SAS	HG03829
HG03831	hprc_asian/unsampled	complete	B	4	1	1	1	2	SAS	HG03829
HG03831	hprc_asian/unsampled	complete	C	4	1	1	1	2	SAS	HG03829
HG03831	hprc_asian/unsampled	complete	DPA1	4	0	0	0	0	SAS	HG03829
HG03831	hprc_asian/unsampled	complete	DPB1	4	1	1	1	2	SAS	HG03829
HG03831	hprc_asian/unsampled	complete	DQA1	4	1	1	1	2	SAS	HG03829
HG03831	hprc_asian/unsampled	complete	DQB1	4	1	1	1	2	SAS	HG03829
HG03831	hprc_asian/unsampled	complete	DRB1	4	0	0	0	0	SAS	HG03829
HG03874	T1K	complete	A	2	1	1	1	2	SAS	HG03874
HG03874	T1K	complete	B	2	1	1	1	2	SAS	HG03874
HG03874	T1K	complete	C	2	1	1	1	2	SAS	HG03874
HG03874	T1K	complete	DPA1	2	1	1	1	2	SAS	HG03874
HG03874	T1K	complete	DPB1	2	1	1	1	2	SAS	HG03874
HG03874	T1K	complete	DQA1	2	1	1	1	2	SAS	HG03874
HG03874	T1K	complete	DQB1	2	1	1	1	2	SAS	HG03874
HG03874	T1K	complete	DRB1	2	1	1	1	2	SAS	HG03874
HG03874	T1K	complete	A	4	1	1	1	2	SAS	HG03874
HG03874	T1K	complete	B	4	1	1	1	2	SAS	HG03874
HG03874	T1K	complete	C	4	1	1	0	1	SAS	HG03874
HG03874	T1K	complete	DPA1	4	0	0	0	0	SAS	HG03874
HG03874	T1K	complete	DPB1	4	1	1	1	2	SAS	HG03874
HG03874	T1K	complete	DQA1	4	0	0	0	0	SAS	HG03874
HG03874	T1K	complete	DQB1	4	1	1	0	1	SAS	HG03874
HG03874	T1K	complete	DRB1	4	0	0	0	0	SAS	HG03874
HG03874	ipd_genome	complete	A	2	1	1	1	2	SAS	HG03874
HG03874	ipd_genome	complete	B	2	1	1	1	2	SAS	HG03874
HG03874	ipd_genome	complete	C	2	1	1	1	2	SAS	HG03874
HG03874	ipd_genome	complete	DPA1	2	1	1	1	2	SAS	HG03874
HG03874	ipd_genome	complete	DPB1	2	1	1	1	2	SAS	HG03874
HG03874	ipd_genome	complete	DQA1	2	1	1	1	2	SAS	HG03874
HG03874	ipd_genome	complete	DQB1	2	1	1	1	2	SAS	HG03874
HG03874	ipd_genome	complete	DRB1	2	1	1	1	2	SAS	HG03874
HG03874	ipd_genome	complete	A	4	1	1	1	2	SAS	HG03874
HG03874	ipd_genome	complete	B	4	1	1	1	2	SAS	HG03874
HG03874	ipd_genome	complete	C	4	1	1	1	2	SAS	HG03874
HG03874	ipd_genome	complete	DPA1	4	0	0	0	0	SAS	HG03874
